Amphiscirpus
Blysmopsis
Blysmus
Calliscirpus
Carex
Cymophyllus
Cypringlea
Dulichium
Eriophorum
Khaosokia
Kobresia
Oreobolopsis
Phylloscirpus
Rhodoscirpus
Schoenoxiphium
Scirpus
Sumatroscirpus
Trichophorum
Uncinia
Zameioscirpus
