,species_name,coded_property_name,collapsed_data_maximum,collapsed_data_minimum
162,carex_atrofusca,inflorescence_length,8cm;6cm,6cm;2cm
163,carex_atrofusca,leaf_width,4mm,2mm
164,carex_atrofusca,plant_height,60cm;60cm;30cm,30cm;30cm;0cm
165,carex_atrosquama,branch_quantity,5;3,3;2
166,carex_atrosquama,leaf_width,5mm,3mm
167,carex_atrosquama,plant_height,50cm,20cm
168,carex_aurea,fruit_length,1.8mm,1.4mm
169,carex_aurea,fruit_width,1.5mm,1mm
170,carex_aurea,leaf_width,3mm,1.4mm
171,carex_aurea,plant_height,40cm,5cm
172,carex_aureolensis,leaf_width,8.5mm,2mm
173,carex_aureolensis,plant_height,20cm;20cm;85cm,10cm;10cm;20cm
174,carex_austrina,fruit_length,2.5mm,1.9mm
175,carex_austrina,fruit_width,2mm,1.5mm
176,carex_austrina,inflorescence_length,3.5cm,1.5cm
177,carex_austrina,inflorescence_width,15mm,8mm
178,carex_austrina,leaf_width,4.5mm,2.5mm
179,carex_austrina,plant_height,90cm,20cm
180,carex_austrocaroliniana,fruit_length,2mm,1.8mm
181,carex_austrocaroliniana,fruit_width,2mm,1.8mm
182,carex_austrocaroliniana,leaf_width,3mm;7mm;6mm,2mm;6mm;3mm
183,carex_austrocaroliniana,plant_height,51cm,19cm
184,carex_backii,fruit_length,3.2mm,2.5mm
185,carex_backii,fruit_width,2.3mm,1.6mm
186,carex_backii,leaf_width,5.4mm,1.3mm
187,carex_backii,plant_height,25cm,1.4cm
188,carex_baileyi,inflorescence_length,22cm;16cm,16cm;3cm
189,carex_baileyi,leaf_width,5mm;4mm,4mm;2.4mm
190,carex_baileyi,plant_height,65cm,20cm
191,carex_baltzellii,leaf_width,8mm,4mm
192,carex_baltzellii,plant_height,40cm,15cm
193,carex_barbarae,leaf_width,9mm,4mm
194,carex_barbarae,plant_height,110cm,30cm
195,carex_barrattii,leaf_width,5mm,2mm
196,carex_barrattii,plant_height,90cm,20cm
197,carex_basiantha,fruit_length,2.6mm;3.4mm;3mm,2.4mm;3mm;2.6mm
198,carex_basiantha,fruit_width,1.5mm;1.9mm;1.7mm,1.3mm;1.7mm;1.5mm
199,carex_basiantha,leaf_width,3.7mm,1.4mm
200,carex_basiantha,plant_height,18cm;18cm;39cm,10.7cm;10.7cm;18cm
201,carex_bebbii,inflorescence_length,3cm,1.1cm
202,carex_bebbii,inflorescence_width,14mm,5mm
203,carex_bebbii,leaf_width,4.2mm,1.7mm
204,carex_bebbii,plant_height,90cm,20cm
205,carex_bella,branch_quantity,3,2
206,carex_bella,leaf_width,6mm,3mm
207,carex_bella,plant_height,55cm,25cm
208,carex_bicknellii,inflorescence_length,0.62cm,0.24cm
209,carex_bicknellii,inflorescence_width,15mm,8mm
210,carex_bicknellii,leaf_width,5mm,2mm
211,carex_bicknellii,plant_height,40cm;40cm;110cm,35cm;35cm;40cm
212,carex_bicolor,fruit_length,2mm,1.4mm
213,carex_bicolor,fruit_width,1.6mm,1mm
214,carex_bicolor,leaf_width,2.5mm,1mm
215,carex_bicolor,plant_height,20cm,0cm
216,carex_bigelowii,leaf_width,4mm,1.5mm
217,carex_bigelowii,plant_height,50cm,10cm
218,carex_biltmoreana,fruit_length,2.5mm,1.8mm
219,carex_biltmoreana,fruit_width,1.6mm,1.4mm
220,carex_biltmoreana,inflorescence_length,32cm,16cm
221,carex_biltmoreana,leaf_width,6mm,3.5mm
222,carex_biltmoreana,plant_height,75cm,30cm
223,carex_blanda,fruit_length,3.2mm,2.1mm
224,carex_blanda,fruit_width,1.8mm,0.8mm
225,carex_blanda,inflorescence_length,1.7cm,0cm
