,species_name,coded_property_name,collapsed_data_maximum,collapsed_data_minimum
469,carex_deweyana,leaf_width,4.2mm;4.2mm,0.6mm;2.4mm
470,carex_diandra,branch_quantity,3,0
471,carex_diandra,fruit_length,1.7mm,1.4mm
472,carex_diandra,fruit_width,1mm,0.7mm
473,carex_diandra,inflorescence_length,6cm;5cm,5cm;2cm
474,carex_diandra,inflorescence_width,1.7cm;1.4cm,1.4cm;0.6cm
475,carex_diandra,leaf_width,2.5mm,1mm
476,carex_diandra,plant_height,2cm;2cm;90cm,1cm;1cm;2cm
477,carex_digitalis,fruit_length,2.8mm,1.8mm
478,carex_digitalis,fruit_width,1.6mm,1mm
479,carex_digitalis,inflorescence_length,8.7cm,0.4cm
480,carex_digitalis,leaf_width,5mm;5.3mm;4.5mm;5.3mm;4.5mm;3.5mm;2.9mm,0.8mm;4.5mm;2.7mm;4.5mm;2.7mm;2.9mm;2mm
481,carex_digitalis,plant_height,52cm,7cm
482,carex_diluta,leaf_width,4.6mm,3mm
483,carex_diluta,plant_height,55cm,15cm
484,carex_disperma,fruit_length,1.75mm,1.5mm
485,carex_disperma,inflorescence_length,2.5cm,1.5cm
486,carex_disperma,inflorescence_width,5mm,3mm
487,carex_disperma,leaf_width,1.5mm,0.75mm
488,carex_disperma,plant_height,60cm,15cm
489,carex_distans,leaf_width,4.6mm,3mm
490,carex_distans,plant_height,80cm,40cm
491,carex_disticha,inflorescence_length,7cm,2cm
492,carex_disticha,leaf_width,5.2mm,1.8mm
493,carex_disticha,plant_height,120cm,30cm
494,carex_divisa,inflorescence_length,3.5cm,1cm
495,carex_divisa,leaf_width,3mm,1.1mm
496,carex_divisa,plant_height,25cm;25cm;80cm;80cm;65cm,15cm;15cm;65cm;65cm;25cm
497,carex_divulsa,fruit_length,2.5mm,2.3mm
498,carex_divulsa,fruit_width,1.7mm,1.5mm
499,carex_divulsa,inflorescence_length,18cm,5cm
500,carex_divulsa,inflorescence_width,10mm,6mm
501,carex_divulsa,leaf_width,3mm,2mm
502,carex_divulsa,plant_height,90cm,25cm
503,carex_douglasii,inflorescence_length,4.5cm;3.5cm,3.5cm;1.2cm
504,carex_douglasii,leaf_width,3.5mm;3mm,3mm;1mm
505,carex_douglasii,plant_height,15cm;15cm;40cm,8cm;8cm;15cm
506,carex_duriuscula,inflorescence_length,2cm,0.7cm
507,carex_duriuscula,leaf_width,1.8mm,0.6mm
508,carex_duriuscula,plant_height,10cm;10cm;35cm,6cm;6cm;10cm
509,carex_ebenea,inflorescence_length,3cm,1.5cm
510,carex_ebenea,inflorescence_width,20mm,14mm
511,carex_ebenea,leaf_width,4mm,2.8mm
512,carex_ebenea,plant_height,50cm,18cm
513,carex_eburnea,leaf_width,1mm,0.2mm
514,carex_eburnea,plant_height,31cm,7cm
515,carex_echinata,fruit_length,2.1mm,1.3mm
516,carex_echinata,fruit_width,1.55mm,0.8mm
517,carex_echinata,inflorescence_length,4cm;2.5cm;7.8cm;8cm,2.5cm;1.2cm;0.7cm;2.5cm
518,carex_echinata,leaf_width,3.8mm;3.3mm;3.8mm;3.3mm;2.3mm;3.8mm;3.3mm;3.8mm;3.3mm;3.3mm;2.7mm;2.7mm;2.4mm,3.3mm;0.7mm;3.3mm;1mm;1.7mm;3.3mm;2.3mm;3.3mm;1mm;2.7mm;0.7mm;2.4mm;1mm
519,carex_echinata,plant_height,135cm;135cm;135cm;135cm;80cm;90cm;90cm,90cm;90cm;90cm;90cm;20cm;10cm;10cm
520,carex_edwardsiana,branch_quantity,0.94;0.99,0.88;0.94
521,carex_edwardsiana,fruit_length,3.4mm,2.6mm
522,carex_edwardsiana,fruit_width,2.1mm,1.7mm
523,carex_edwardsiana,leaf_width,3.6mm,2mm
524,carex_edwardsiana,plant_height,34cm,6cm
525,carex_egglestonii,inflorescence_length,2cm;3cm,1.7cm;2cm
526,carex_egglestonii,inflorescence_width,27mm;21mm,21mm;15mm
527,carex_egglestonii,leaf_width,3mm;4.5mm,2.8mm;3mm
528,carex_egglestonii,plant_height,72cm,33cm
529,carex_eleusinoides,leaf_width,3mm,2.5mm
530,carex_eleusinoides,plant_height,30cm,15cm
531,carex_elliottii,inflorescence_length,15.5cm;10cm,10cm;1.7cm
532,carex_elliottii,leaf_width,4.5mm,1.5mm
533,carex_elliottii,plant_height,75cm,25cm
534,carex_elynoides,fruit_length,3mm;2.7mm,2.7mm;1.5mm
535,carex_elynoides,fruit_width,1.2mm;1.5mm,1mm;1.2mm
536,carex_elynoides,leaf_width,0.6mm,0.2mm
537,carex_emoryi,leaf_width,6mm,3mm
538,carex_emoryi,plant_height,115cm,30cm
539,carex_endlichii,fruit_length,2.5mm,2.3mm
540,carex_endlichii,fruit_width,1.5mm,1.3mm
541,carex_endlichii,leaf_width,4mm,2.5mm
542,carex_endlichii,plant_height,50cm,30cm
543,carex_engelmannii,inflorescence_length,1.5cm,0.7cm
544,carex_engelmannii,inflorescence_width,8mm,6mm
545,carex_engelmannii,leaf_width,0.6mm,0.3mm
546,carex_engelmannii,plant_height,15cm,7cm
547,carex_epapillosa,branch_quantity,5,3
548,carex_epapillosa,leaf_width,6mm,2mm
549,carex_epapillosa,plant_height,100cm;100cm;60cm,60cm;60cm;25cm
550,carex_exilis,fruit_length,2.2mm,1.4mm
551,carex_exilis,fruit_width,1.7mm,1.2mm
552,carex_exilis,inflorescence_length,4cm,0.6cm
553,carex_exilis,leaf_width,1.5mm;1.5mm,0.4mm;0.8mm
554,carex_exilis,plant_height,80cm,12cm
555,carex_exsiccata,inflorescence_length,36cm,10cm
556,carex_exsiccata,leaf_width,6.2mm,2.5mm
557,carex_exsiccata,plant_height,100cm,30cm
558,carex_extensa,branch_quantity,3,2
559,carex_extensa,leaf_width,4.3mm;3.5mm,3.5mm;1mm
560,carex_extensa,plant_height,75cm,15cm
561,carex_festucacea,inflorescence_length,6cm,2.5cm
562,carex_festucacea,inflorescence_width,11mm,4.5mm
563,carex_festucacea,leaf_width,3.5mm,1mm
564,carex_festucacea,plant_height,100cm,45cm
565,carex_feta,plant_height,97cm,51cm
566,carex_filifolia,fruit_length,3.3mm;2.3mm;3mm;3.3mm,3mm;1.5mm;2.2mm;1.5mm
567,carex_filifolia,fruit_width,1.3mm;1.5mm;1.9mm;1.9mm,1.1mm;1.3mm;1.3mm;1.1mm
568,carex_filifolia,leaf_width,0.5mm;0.7mm;0.7mm,0.3mm;0.3mm;0.3mm
569,carex_filifolia,plant_height,35cm;26cm;35cm,5cm;5cm;8cm
570,carex_fissa,branch_quantity,15,10
571,carex_fissa,fruit_length,1.9mm,1.5mm
572,carex_fissa,fruit_width,1.6mm,1.2mm
573,carex_fissa,inflorescence_length,7cm,3cm
574,carex_fissa,inflorescence_width,25mm,15mm
575,carex_fissa,plant_height,80cm,0cm
576,carex_fissuricola,leaf_width,8mm,3mm
577,carex_fissuricola,plant_height,80cm,0cm
578,carex_flacca,inflorescence_length,10cm,0cm
579,carex_flacca,plant_height,35cm,0cm
580,carex_flaccosperma,branch_quantity,1,0.40
581,carex_flaccosperma,fruit_length,3.4mm,2.5mm
582,carex_flaccosperma,fruit_width,1.4mm;1.7mm;1.6mm,1.3mm;1.6mm;1.4mm
583,carex_flaccosperma,leaf_width,14.7mm,6.3mm
584,carex_flaccosperma,plant_height,75cm;75cm;60cm,60cm;60cm;10cm
585,carex_flava,fruit_length,1.7mm,1.3mm
586,carex_flava,fruit_width,1.2mm,0.9mm
587,carex_flava,leaf_width,4.7mm,1.6mm
588,carex_flava,plant_height,75cm,10cm
589,carex_floridana,fruit_length,2mm,1.5mm
590,carex_floridana,fruit_width,1.3mm,0.9mm
591,carex_floridana,leaf_width,3mm,1.7mm
592,carex_floridana,plant_height,17cm,5cm
593,carex_foenea,inflorescence_length,8cm,1.5cm
594,carex_foenea,inflorescence_width,15mm,7mm
595,carex_foenea,leaf_width,4mm,2mm
596,carex_foenea,plant_height,120cm,20cm
597,carex_folliculata,fruit_length,3.4mm;4.5mm;4mm,3.2mm;4mm;3.4mm
598,carex_folliculata,fruit_width,2.3mm,1.5mm
599,carex_folliculata,inflorescence_length,85cm,15cm
600,carex_folliculata,leaf_width,21mm;18mm;21mm;18mm,18mm;6mm;18mm;8mm
601,carex_folliculata,plant_height,40cm;40cm;175cm,25cm;25cm;40cm
602,carex_formosa,fruit_length,2.5mm,2mm
603,carex_formosa,fruit_width,1.5mm,1.4mm
604,carex_formosa,inflorescence_length,50mm,25mm
605,carex_formosa,leaf_width,7mm;4.5mm,3mm;2.5mm
606,carex_formosa,plant_height,80cm,30cm
607,carex_fracta,leaf_width,7mm,4mm
608,carex_fracta,plant_height,115cm,60cm
609,carex_frankii,leaf_width,11.5mm,2.5mm
610,carex_frankii,plant_height,80cm,18cm
611,carex_fuliginosa,fruit_length,2mm,1.5mm
612,carex_fuliginosa,fruit_width,1mm,0.9mm
613,carex_fuliginosa,inflorescence_length,12cm,1cm
614,carex_fuliginosa,leaf_width,3.5mm,1.5mm
615,carex_fuliginosa,plant_height,30cm,0cm
616,carex_garberi,fruit_length,2mm,1.4mm
617,carex_garberi,fruit_width,1.5mm,1mm
618,carex_garberi,leaf_width,3.5mm;2.5mm,2.5mm;1mm
619,carex_garberi,plant_height,40cm,5cm
620,carex_geophila,fruit_length,2.8mm,1.6mm
621,carex_geophila,fruit_width,1.9mm,1.5mm
622,carex_geophila,leaf_width,2.3mm,0.8mm
623,carex_geophila,plant_height,22cm,3cm
624,carex_geyeri,leaf_width,3.5mm,1.1mm
625,carex_geyeri,plant_height,49cm,13cm
626,carex_gholsonii,fruit_length,2.7mm;2.5mm,2.5mm;1.9mm
627,carex_gholsonii,fruit_width,1.6mm,1.2mm
628,carex_gholsonii,leaf_width,11.3mm,2.2mm
629,carex_gholsonii,plant_height,75cm,20cm
630,carex_gigantea,inflorescence_length,40cm,15cm
631,carex_gigantea,leaf_width,16mm;11mm,5mm;6mm
632,carex_gigantea,plant_height,120cm,35cm
633,carex_glacialis,leaf_width,1.5mm,0.5mm
634,carex_glacialis,plant_height,30cm;30cm;20cm,20cm;20cm;0cm
635,carex_glareosa,fruit_width,1.25mm,1mm
636,carex_glareosa,inflorescence_length,2cm;25mm;20mm,1cm;7mm;13mm
637,carex_glareosa,inflorescence_width,12mm;12mm;12mm,5mm;5mm;8mm
638,carex_glareosa,leaf_width,2mm;2mm;2.5mm,1mm;1mm;1.5mm
639,carex_glareosa,plant_height,60cm;60cm;40cm;25cm;40cm,40cm;40cm;10cm;10cm;20cm
640,carex_glaucescens,fruit_length,3mm,2.5mm
641,carex_glaucescens,fruit_width,2mm,1.5mm
642,carex_glaucescens,leaf_width,8mm,4mm
643,carex_glaucescens,plant_height,120cm,0cm
644,carex_glaucodea,branch_quantity,1,0.56
645,carex_glaucodea,fruit_length,3mm,2.4mm
646,carex_glaucodea,fruit_width,1.7mm;1.6mm,1.6mm;1.3mm
647,carex_glaucodea,leaf_width,5.7mm;10.8mm,5.1mm;5.7mm
648,carex_glaucodea,plant_height,50cm,10cm
649,carex_globosa,fruit_length,2.7mm,1.9mm
650,carex_globosa,fruit_width,2.3mm,1.6mm
651,carex_globosa,leaf_width,4.5mm,1.4mm
652,carex_globosa,plant_height,47cm,7cm
653,carex_gmelinii,branch_quantity,4,2
654,carex_gmelinii,leaf_width,4mm,2mm
655,carex_gmelinii,plant_height,60cm,20cm
656,carex_godfreyi,branch_quantity,0.94,0.094
657,carex_godfreyi,fruit_length,3.1mm;3.7mm;3.5mm,3mm;3.5mm;3.1mm
658,carex_godfreyi,fruit_width,1.8mm,1.5mm
659,carex_godfreyi,leaf_width,5.3mm;4mm,4mm;2.4mm
660,carex_godfreyi,plant_height,85cm;85cm;65cm,65cm;65cm;8cm
661,carex_gracilescens,fruit_length,2.8mm,2.6mm
662,carex_gracilescens,fruit_width,1.6mm,1.3mm
663,carex_gracilescens,leaf_width,3.4mm,0.5mm
664,carex_gracilescens,plant_height,78cm,13cm
665,carex_gracilior,inflorescence_length,3cm,1.5cm
666,carex_gracilior,inflorescence_width,12mm,8mm
667,carex_gracilior,leaf_width,4mm;3.5mm,3.5mm;1.4mm
668,carex_gracilior,plant_height,110cm;110cm;70cm,70cm;70cm;30cm
669,carex_gracillima,fruit_length,2.6mm,1.2mm
670,carex_gracillima,fruit_width,1.2mm,1mm
671,carex_gracillima,leaf_width,9mm;4mm,3mm;3mm
672,carex_gracillima,plant_height,90cm,20cm
673,carex_granularis,fruit_length,2.3mm,1.8mm
674,carex_granularis,fruit_width,1.4mm,1mm
675,carex_granularis,leaf_width,5.3mm,1.2mm
676,carex_granularis,plant_height,100cm;100cm;70cm,70cm;70cm;13cm
677,carex_gravida,fruit_length,2.1mm,1.8mm
678,carex_gravida,fruit_width,2mm,1.6mm
679,carex_gravida,inflorescence_length,5cm,1cm
680,carex_gravida,inflorescence_width,15mm,8mm
681,carex_gravida,leaf_width,4mm;8mm,3mm;4mm
682,carex_gravida,plant_height,30cm;30cm;100cm,20cm;20cm;30cm
683,carex_grayi,inflorescence_length,17cm,2.5cm
684,carex_grayi,leaf_width,11mm;7mm,4mm;2mm
685,carex_grayi,plant_height,40cm;40cm;110cm;110cm;90cm,25cm;25cm;90cm;90cm;40cm
686,carex_grisea,branch_quantity,0.85,0.38
687,carex_grisea,fruit_length,0.7;3.1mm;3.7mm;0.66;3.5mm,0.66;2.6mm;3.5mm;0.6;3.1mm
688,carex_grisea,fruit_width,2.2mm;2.1mm,2.1mm;1.7mm
689,carex_grisea,leaf_width,4.2mm;9.1mm;8.2mm,3.7mm;8.2mm;4.2mm
690,carex_grisea,plant_height,3.2cm;90cm,2cm;15cm
691,carex_gynandra,leaf_width,10.5mm,4mm
692,carex_gynandra,plant_height,140cm,45cm
693,carex_gynocrates,fruit_length,1.7mm,1.5mm
694,carex_gynocrates,fruit_width,1.2mm,1mm
695,carex_gynocrates,leaf_width,0.7mm,0.3mm
696,carex_gynocrates,plant_height,30cm,2cm
697,carex_gynodynama,fruit_length,2.6mm,2mm
698,carex_gynodynama,fruit_width,1.7mm,1.2mm
699,carex_gynodynama,leaf_width,12mm;2mm,3mm;1.2mm
700,carex_gynodynama,plant_height,70cm,20cm
701,carex_halliana,inflorescence_length,25cm,8cm
702,carex_halliana,leaf_width,5.5mm,2mm
703,carex_halliana,plant_height,50cm;50cm;40cm,40cm;40cm;10cm
704,carex_hallii,branch_quantity,2,1
705,carex_hallii,leaf_width,3.5mm,2mm
706,carex_hallii,plant_height,30cm,10cm
707,carex_harfordii,inflorescence_length,4cm,1.1cm
708,carex_harfordii,inflorescence_width,20mm,7mm
709,carex_harfordii,plant_height,50cm;50cm;135cm,29cm;29cm;50cm
710,carex_hassei,fruit_length,2mm,1.2mm
711,carex_hassei,fruit_width,1.5mm,1.1mm
712,carex_hassei,leaf_width,3.7mm;3mm,3mm;2mm
713,carex_hassei,plant_height,70cm;70cm;40cm,40cm;40cm;10cm
714,carex_haydeniana,inflorescence_length,2.1cm,1.1cm
715,carex_haydeniana,inflorescence_width,18mm,13mm
716,carex_haydeniana,leaf_width,4mm,1.5mm
717,carex_haydeniana,plant_height,40cm;40cm;30cm,30cm;30cm;9cm
718,carex_haydenii,leaf_width,5mm,3mm
719,carex_haydenii,plant_height,115cm,30cm
720,carex_heleonastes,fruit_length,2mm,1.5mm
721,carex_heleonastes,fruit_width,1.2mm,1mm
722,carex_heleonastes,inflorescence_length,2cm,0.8cm
723,carex_heleonastes,inflorescence_width,10mm,5mm
724,carex_heleonastes,leaf_width,2mm,1mm
725,carex_heleonastes,plant_height,35cm,15cm
726,carex_helleri,branch_quantity,3,2
727,carex_helleri,leaf_width,3mm,2mm
728,carex_helleri,plant_height,30cm,5cm
729,carex_hendersonii,fruit_length,5mm,4.5mm
730,carex_hendersonii,fruit_width,2mm,1.6mm
731,carex_hendersonii,inflorescence_length,4cm,0.2cm
732,carex_hendersonii,leaf_width,16mm,3mm
733,carex_hendersonii,plant_height,87cm,45cm
734,carex_heteroneura,branch_quantity,6;4,4;2
735,carex_heteroneura,leaf_width,5mm,2mm
736,carex_heteroneura,plant_height,100cm;100cm;60cm,60cm;60cm;25cm
737,carex_heterostachya,inflorescence_length,12cm,2.5cm
738,carex_heterostachya,leaf_width,3.2mm,1.5mm
739,carex_heterostachya,plant_height,60cm,25cm
740,carex_hirsutella,fruit_length,2.6mm;2.1mm,2.1mm;1.6mm
741,carex_hirsutella,fruit_width,1.3mm,0.8mm
742,carex_hirsutella,leaf_width,4mm,1.5mm
743,carex_hirsutella,plant_height,90cm,20cm
744,carex_hirta,inflorescence_length,50cm,8cm
745,carex_hirta,leaf_width,8mm,2.5mm
746,carex_hirta,plant_height,20cm;20cm;90cm,10cm;10cm;20cm
747,carex_hirtifolia,fruit_length,2.8mm,2.5mm
748,carex_hirtifolia,fruit_width,1.5mm,1.2mm
749,carex_hirtifolia,leaf_width,8mm,4mm
750,carex_hirtifolia,plant_height,60cm,25cm
751,carex_hirtissima,fruit_length,3.1mm,2mm
752,carex_hirtissima,fruit_width,1.7mm,1mm
753,carex_hirtissima,leaf_width,12mm;3mm,2.7mm;1mm
754,carex_hirtissima,plant_height,60cm,30cm
755,carex_hitchcockiana,branch_quantity,0.48,0.19
756,carex_hitchcockiana,fruit_length,4.2mm;3.9mm,3.9mm;3.2mm
757,carex_hitchcockiana,fruit_width,1.8mm;2.1mm,1.6mm;1.8mm
758,carex_hitchcockiana,leaf_width,3.4mm;6.5mm;5.4mm,3mm;5.4mm;3.4mm
759,carex_hitchcockiana,plant_height,60cm,15cm
760,carex_holostoma,branch_quantity,3;2,2;1
761,carex_holostoma,leaf_width,3mm,1.5mm
762,carex_holostoma,plant_height,30cm,10cm
763,carex_hoodii,fruit_length,2.1mm,1.7mm
764,carex_hoodii,fruit_width,1.8mm,1.7mm
765,carex_hoodii,leaf_width,3.5mm,1mm
766,carex_hoodii,plant_height,80cm,20cm
767,carex_hookeriana,fruit_length,1.7mm,1.5mm
768,carex_hookeriana,fruit_width,1.2mm,1.1mm
769,carex_hookeriana,inflorescence_length,5cm,2cm
770,carex_hookeriana,inflorescence_width,10mm,5mm
771,carex_hookeriana,leaf_width,2.5mm,1.5mm
772,carex_hookeriana,plant_height,80cm,15cm
773,carex_hormathodes,inflorescence_length,6cm,2.5cm
774,carex_hormathodes,inflorescence_width,16mm,5mm
775,carex_hormathodes,leaf_width,3mm,1mm
776,carex_hormathodes,plant_height,80cm,20cm
777,carex_hostiana,fruit_length,2mm,1.5mm
778,carex_hostiana,fruit_width,1.5mm,1mm
779,carex_hostiana,leaf_width,3.1mm,1.5mm
780,carex_hostiana,plant_height,60cm,25cm
781,carex_houghtoniana,branch_quantity,2;4;3,1;3;2
782,carex_houghtoniana,inflorescence_length,23cm,4.5cm
783,carex_houghtoniana,leaf_width,8.5mm,2.8mm
784,carex_houghtoniana,plant_height,100cm;100cm;80cm,80cm;80cm;20cm
785,carex_hyalina,inflorescence_length,4cm,1.3cm
786,carex_hyalina,inflorescence_width,12mm,8mm
787,carex_hyalina,leaf_width,2.7mm,1mm
788,carex_hyalina,plant_height,95cm,25cm
789,carex_hyalinolepis,branch_quantity,4,2
790,carex_hyalinolepis,inflorescence_length,50cm,15cm
791,carex_hyalinolepis,leaf_width,5.5mm;13mm,4mm;5.5mm
792,carex_hyalinolepis,plant_height,110cm,40cm
793,carex_hystericina,inflorescence_length,20cm;12cm,12cm;2.5cm
794,carex_hystericina,leaf_width,8.5mm,2.5mm
795,carex_hystericina,plant_height,100cm,20cm
796,carex_idahoa,branch_quantity,3,1
797,carex_idahoa,leaf_width,5mm,2mm
798,carex_idahoa,plant_height,40cm,25cm
799,carex_illota,inflorescence_length,1.2cm,1cm
800,carex_illota,inflorescence_width,10mm,5.5mm
801,carex_illota,leaf_width,2.5mm,1.5mm
802,carex_illota,plant_height,38cm,15cm
803,carex_impressinervia,branch_quantity,0.72,0.37
804,carex_impressinervia,fruit_length,3.5mm,3.1mm
805,carex_impressinervia,fruit_width,1.8mm,1.5mm
806,carex_impressinervia,leaf_width,4mm,2.6mm
807,carex_impressinervia,plant_height,85cm,25cm
808,carex_incurviformis,inflorescence_length,1.2cm,0.5cm
809,carex_incurviformis,plant_height,12cm,2cm
810,carex_infirminervia,fruit_length,2.2mm,1.6mm
811,carex_infirminervia,fruit_width,1.3mm,1.1mm
812,carex_infirminervia,inflorescence_length,68mm,27mm
813,carex_infirminervia,leaf_width,3.8mm;3.8mm,1.4mm;2.3mm
814,carex_infirminervia,plant_height,83cm,10cm
815,carex_inops,fruit_length,1.6mm;2.5mm,1.4mm;1.6mm
816,carex_inops,fruit_width,2.2mm,1.5mm
817,carex_inops,leaf_width,4.5mm,0.7mm
818,carex_inops,plant_height,50cm,13cm
819,carex_integra,inflorescence_length,2.4cm,1.1cm
820,carex_integra,inflorescence_width,14mm,6.3mm
821,carex_integra,plant_height,15cm;15cm;55cm,11cm;11cm;15cm
822,carex_interior,fruit_length,1.8mm,1.2mm
823,carex_interior,fruit_width,1.5mm,0.95mm
824,carex_interior,inflorescence_length,3.7cm,0.8cm
825,carex_interior,leaf_width,2.7mm;2.4mm;2.7mm;2.4mm,2.4mm;0.6mm;2.4mm;1mm
826,carex_interior,plant_height,95cm,10cm
827,carex_interrupta,leaf_width,5mm,3mm
828,carex_interrupta,plant_height,75cm,20cm
829,carex_intumescens,inflorescence_length,15cm,2cm
830,carex_intumescens,leaf_width,8mm;6mm,3.5mm;2mm
831,carex_intumescens,plant_height,30cm;30cm;140cm;140cm;80cm,15cm;15cm;80cm;80cm;30cm
832,carex_jamesii,fruit_length,2.6mm,2mm
833,carex_jamesii,fruit_width,2.4mm,1.7mm
834,carex_jamesii,leaf_width,4.8mm,0.8mm
835,carex_jamesii,plant_height,37cm,4cm
836,carex_jonesii,branch_quantity,10,5
837,carex_jonesii,fruit_length,1.5mm,0mm
838,carex_jonesii,fruit_width,1mm,0mm
839,carex_jonesii,inflorescence_length,2.5cm,0cm
840,carex_jonesii,inflorescence_width,1.5cm,0cm
841,carex_jonesii,plant_height,60cm,0cm
842,carex_joorii,fruit_length,3mm,2.5mm
843,carex_joorii,fruit_width,3mm,2.5mm
844,carex_joorii,leaf_width,10mm,7mm
845,carex_joorii,plant_height,125cm,0cm
846,carex_juniperorum,fruit_length,2.5mm,1.9mm
847,carex_juniperorum,fruit_width,2mm,1.5mm
848,carex_juniperorum,plant_height,9.1cm;9.1cm;6.5cm;9.1cm,6.5cm;6.5cm;2cm;3.2cm
849,carex_kobomugi,fruit_length,7mm,4mm
850,carex_kobomugi,fruit_width,2.5mm,1.5mm
851,carex_kobomugi,plant_height,30cm,10cm
852,carex_kraliana,inflorescence_length,15mm;7.3mm,7.3mm;1.3mm
853,carex_kraliana,leaf_width,11mm;3.2mm;8.3mm,2.6mm;2.9mm;3.2mm
854,carex_kraliana,plant_height,56cm,9.2cm
855,carex_krausei,fruit_length,1.4mm,1.1mm
856,carex_krausei,fruit_width,0.9mm,0.6mm
857,carex_krausei,leaf_width,2mm,1mm
858,carex_krausei,plant_height,35cm;35cm;15cm,15cm;15cm;0cm
859,carex_lachenalii,fruit_length,1.5mm,1.2mm
860,carex_lachenalii,inflorescence_length,2.5cm,1cm
861,carex_lachenalii,inflorescence_width,12mm,5mm
862,carex_lachenalii,leaf_width,2mm,1mm
863,carex_lachenalii,plant_height,40cm,10cm
864,carex_lacustris,branch_quantity,4,2
865,carex_lacustris,inflorescence_length,60cm,17cm
866,carex_lacustris,leaf_width,8.5mm;21mm,5.5mm;8.5mm
867,carex_lacustris,plant_height,135cm,50cm
868,carex_laeviconica,inflorescence_length,15cm;65cm,9cm;15cm
869,carex_laeviconica,leaf_width,6mm,3mm
870,carex_laeviconica,plant_height,30cm;30cm;110cm,25cm;25cm;30cm
871,carex_laeviculmis,fruit_length,2mm,1.3mm
872,carex_laeviculmis,fruit_width,1.2mm,0.9mm
873,carex_laeviculmis,inflorescence_length,87mm;58mm,58mm;16mm
874,carex_laeviculmis,leaf_width,2.3mm;2.3mm;2mm,0.9mm;2mm;1.3mm
875,carex_laeviculmis,plant_height,66cm,14cm
876,carex_laevivaginata,branch_quantity,15,6
877,carex_laevivaginata,inflorescence_length,6cm,3cm
878,carex_laevivaginata,plant_height,80cm,0cm
879,carex_lapponica,inflorescence_length,4cm,1.5cm
880,carex_lapponica,inflorescence_width,5mm,4mm
881,carex_lapponica,leaf_width,or shorter;2mm,subequal;1mm
882,carex_lapponica,plant_height,40cm,15cm
883,carex_lasiocarpa,inflorescence_length,20cm,6cm
884,carex_lasiocarpa,plant_height,120cm,40cm
885,carex_latebracteata,fruit_length,3mm,2.8mm
886,carex_latebracteata,fruit_width,2.5mm,2mm
887,carex_latebracteata,leaf_width,6mm;15mm,4.1mm;6mm
888,carex_latebracteata,plant_height,31cm,17cm
889,carex_lativena,fruit_length,2.4mm,2mm
890,carex_lativena,fruit_width,1.4mm;1.9mm,1.1mm;1.4mm
891,carex_lativena,plant_height,12cm,0cm
892,carex_laxa,fruit_length,1.9mm,1.5mm
893,carex_laxa,fruit_width,1.2mm,1mm
894,carex_laxa,inflorescence_length,20cm;12cm,12cm;4cm
895,carex_laxa,leaf_width,3.5mm;2.5mm,2.5mm;1mm
896,carex_laxa,plant_height,40cm,15cm
897,carex_laxiculmis,fruit_length,3.2mm,2.2mm
898,carex_laxiculmis,fruit_width,1.8mm,1.2mm
899,carex_laxiculmis,inflorescence_length,9.5cm,0cm
900,carex_laxiculmis,leaf_width,7mm;11.8mm;8.3mm;12mm,1mm;6.4mm;5.3mm;3mm
901,carex_laxiculmis,plant_height,48cm,9cm
902,carex_laxiflora,fruit_length,3.4mm;2.2mm,2.2mm;1.8mm
903,carex_laxiflora,fruit_width,1.4mm,1mm
904,carex_laxiflora,inflorescence_length,2.2cm,1cm
905,carex_laxiflora,leaf_width,26mm;3.4mm,5mm;0.5mm
906,carex_laxiflora,plant_height,47cm,39cm
907,carex_leavenworthii,fruit_length,1.5mm,1mm
908,carex_leavenworthii,fruit_width,1.5mm,1mm
909,carex_leavenworthii,inflorescence_length,2cm,0.7cm
910,carex_leavenworthii,inflorescence_width,9mm,4.5mm
911,carex_leavenworthii,leaf_width,4mm;3mm,3mm;1.1mm
912,carex_leavenworthii,plant_height,80cm,10cm
913,carex_lemmonii,inflorescence_length,15cm,0cm
914,carex_lemmonii,leaf_width,4mm;3mm,3mm;1.5mm
915,carex_lemmonii,plant_height,80cm,0cm
916,carex_lenticularis,leaf_width,3.5mm;3.5mm;2.5mm;4mm;4mm,1.5mm;2mm;1.5mm;2mm;2mm
917,carex_lenticularis,plant_height,60cm;60cm;35cm;78cm;90cm,8cm;15cm;3cm;17cm;15cm
918,carex_leporinella,inflorescence_length,3cm,1.4cm
919,carex_leporinella,inflorescence_width,11mm,5mm
920,carex_leporinella,leaf_width,2.5mm,1mm
921,carex_leporinella,plant_height,30cm,14cm
922,carex_leptalea,fruit_length,1.9mm,1.3mm
923,carex_leptalea,fruit_width,1.2mm,0.7mm
924,carex_leptalea,leaf_width,1.3mm,0.4mm
925,carex_leptalea,plant_height,70cm,10cm
926,carex_leptonervia,fruit_length,2.8mm,1.8mm
927,carex_leptonervia,fruit_width,1.2mm,0.8mm
928,carex_leptonervia,inflorescence_length,0.2cm,0cm
929,carex_leptonervia,leaf_width,3.4mm,0.5mm
930,carex_leptonervia,plant_height,44cm,12cm
931,carex_leptopoda,fruit_length,1.9mm;1.8mm,1.8mm;1.5mm
932,carex_leptopoda,fruit_width,1.4mm,0.9mm
933,carex_leptopoda,inflorescence_length,34mm;68mm;43mm,17mm;43mm;34mm
934,carex_leptopoda,leaf_width,5.9mm;5.9mm,2.4mm;2.8mm
935,carex_leptopoda,plant_height,67cm,21cm
