,property_name,species_name,coded_property_name,property_constraint,from,to,value,atypical
74,achene_length,carex_lucorum,fruit_length,,1.3mm,2.2mm,,
75,achene_length,carex_albicans,fruit_length,,1.2mm,1.7mm,,
76,achene_length,carex_sterilis,fruit_length,,1mm,1.7mm,,
77,achene_length,carex_mackenziei,fruit_length,,1.75mm,2mm,,
78,achene_length,carex_canescens,fruit_length,,1.25mm,1.5mm,,
79,achene_length,carex_exilis,fruit_length,,1.4mm,2.2mm,,
80,achene_length,carex_peckii,fruit_length,,1.9mm,2.4mm,,
81,achene_length,carex_pensylvanica,fruit_length,,1.3mm,2.3mm,,
82,achene_length,carex_floridana,fruit_length,,1.5mm,2mm,,
83,achene_length,carex_pauciflora,fruit_length,,2mm,2.4mm,,
84,achene_length,carex_crebriflora,fruit_length,,2.8mm,4.4mm,,
85,achene_length,carex_vaginata,fruit_length,,2.2mm,3mm,,
86,achene_length,carex_collinsii,fruit_length,,,,3,
87,achene_length,carex_crawei,fruit_length,,1.4mm,1.9mm,,
88,achene_length,blysmopsis_rufa,fruit_length,,4mm,5mm,,
89,achene_length,carex_gracilescens,fruit_length,,2.6mm,2.8mm,,
90,achene_length,carex_granularis,fruit_length,,1.8mm,2.3mm,,
91,achene_length,carex_acidicola,fruit_length,,3.1mm,3.3mm,,
92,achene_length,eriophorum_brachyantherum,fruit_length,,2mm,2.3mm,,
93,achene_length,carex_lonchocarpa,fruit_length,,2.3mm,3.4mm,,
94,achene_length,carex_styloflexa,fruit_length,,2.2mm,3.2mm,,
95,achene_length,carex_bicolor,fruit_length,,1.4mm,2mm,,
96,achene_length,carex_inops,fruit_length,,1.6mm,2.5mm,,
97,achene_length,carex_interior,fruit_length,,1.2mm,1.8mm,,
98,achene_length,carex_laeviculmis,fruit_length,,1.3mm,2mm,,
99,achene_length,carex_marina,fruit_length,,1.25mm,1.5mm,,
100,achene_length,carex_heleonastes,fruit_length,,,,1.5,
101,achene_length,carex_wiegandii,fruit_length,,1.4mm,1.9mm,,
102,achene_length,carex_chapmanii,fruit_length,,2.2mm,3mm,,
103,achene_length,carex_argyrantha,fruit_length,,1.5mm,1.75mm,,
104,achene_length,carex_planispicata,fruit_length,,2.8mm,3.7mm,,
105,achene_length,carex_microdonta,fruit_length,,1.9mm,2.7mm,,
106,achene_length,carex_blanda,fruit_length,,2.1mm,3.2mm,,
107,achene_length,amphiscirpus_nevadensis,fruit_length,,2mm,2.3mm,,
108,achene_length,carex_impressinervia,fruit_length,,3.1mm,3.5mm,,
109,achene_length,carex_purpurifera,fruit_length,,3.4mm,3.8mm,,
110,achene_length,carex_cumberlandensis,fruit_length,,2.2mm,2.9mm,,
111,achene_length,carex_tetanica,fruit_length,,1.8mm,3mm,,
112,achene_length,carex_californica,fruit_length,,2.3mm,2.7mm,,
113,achene_length,carex_turgescens,fruit_length,,2.8mm,3.6mm,,
114,achene_length,carex_concinnoides,fruit_length,,1.9mm,2.5mm,,
115,achene_length,carex_nigromarginata,fruit_length,,1.4mm,2mm,,
116,achene_length,carex_glareosa,fruit_length,,,,1.5,
117,achene_length,carex_richardsonii,fruit_length,,1.7mm,1.8mm,,
118,achene_length,carex_polymorpha,fruit_length,,2.2mm,2.8mm,,
119,achene_length,carex_meadii,fruit_length,,2.7mm,4mm,,
120,achene_length,carex_abscondita,fruit_length,,2.6mm,4mm,,
121,achene_length,carex_radfordii,fruit_length,,1.2mm,2.8mm,,
122,achene_length,carex_ouachitana,fruit_length,,2.6mm,3.4mm,,
123,achene_length,carex_digitalis,fruit_length,,1.8mm,2.8mm,,
124,achene_length,carex_manhartii,fruit_length,,1.8mm,2.2mm,,
125,achene_length,carex_michauxiana,fruit_length,,2.2mm,3mm,,
126,achene_length,carex_viridula_subsp_ oedocarpa,fruit_length,,1.1mm,1.5mm,,
127,achene_length,carex_garberi,fruit_length,,1.4mm,2mm,,
128,achene_length,carex_ruthii,fruit_length,,1.1mm,1.8mm,,
129,achene_length,carex_geophila,fruit_length,,1.6mm,2.8mm,,
130,achene_length,carex_tenuiflora,fruit_length,,1.5mm,2mm,,
131,achene_length,carex_ursina,fruit_length,,,,1.2,
132,achene_length,carex_trisperma,fruit_length,,1.75mm,2mm,,
133,achene_length,carex_pedunculata,fruit_length,,,,2.5,
134,achene_length,carex_seorsa,fruit_length,,1.2mm,1.6mm,,
135,achene_length,carex_brevicaulis,fruit_length,,1.9mm,2.4mm,,
136,achene_length,carex_atlantica,fruit_length,,1mm,1.9mm,,
137,achene_length,carex_hassei,fruit_length,,1.2mm,2mm,,
138,achene_length,carex_viridula_var_saxilittoralis,fruit_length,,1.2mm,1.4mm,,
139,achene_length,carex_folliculata,fruit_length,,3.4mm,4mm,,
140,achene_length,carex_hendersonii,fruit_length,,4.5mm,5mm,,
141,achene_length,carex_woodii,fruit_length,,2mm,2.5mm,,
142,achene_length,carex_ormostachya,fruit_length,,2mm,2.8mm,,
143,achene_length,scirpus_cyperinus,fruit_length,,0.6mm,0.9mm,,
144,achene_length,carex_tumulicola,fruit_length,,2mm,2.4mm,,
145,achene_length,carex_nervina,fruit_length,,0mm,2mm,,
146,achene_length,carex_obispoensis,fruit_length,,3mm,4mm,,
147,achene_length,carex_mendocinensis,fruit_length,,1.6mm,2.5mm,,
148,achene_length,carex_debilis,fruit_length,,1.9mm,2.5mm,,
149,achene_length,carex_planostachys,fruit_length,,2.4mm,2.5mm,,
150,achene_length,carex_scirpoidea_subsp_ pseudoscirpoidea,fruit_length,,1.5mm,1.8mm,,
151,achene_length,carex_elynoides,fruit_length,,1.5mm,2.7mm,,
152,achene_length,carex_mesochorea,fruit_length,,1.5mm,1.7mm,,
153,achene_length,carex_perdentata,fruit_length,,1.8mm,2.8mm,,
154,achene_length,carex_filifolia_var_erostrata,fruit_length,,1.5mm,2.3mm,,
155,achene_length,carex_scirpoidea_subsp_ stenochlaena,fruit_length,,1.2mm,2mm,,
156,achene_length,carex_hirtifolia,fruit_length,,2.5mm,2.8mm,,
157,achene_length,carex_lativena,fruit_length,,2mm,2.4mm,,
158,achene_length,carex_gynodynama,fruit_length,,2mm,2.6mm,,
159,achene_length,carex_jonesii,fruit_length,,0mm,1.5mm,,
160,achene_length,carex_triangularis,fruit_length,,1.4mm,1.6mm,,
161,achene_length,carex_hoodii,fruit_length,,1.7mm,2.1mm,,
162,achene_length,carex_hookeriana,fruit_length,,1.5mm,1.7mm,,
163,achene_length,carex_sylvatica,fruit_length,,2.2mm,2.6mm,,
164,achene_length,carex_capillaris,fruit_length,,1.2mm,1.7mm,,
165,achene_length,scirpus_divaricatus,fruit_length,,0.8mm,1mm,,
166,achene_length,carex_whitneyi,fruit_length,,2.8mm,3.9mm,,
167,achene_length,carex_endlichii,fruit_length,,2.3mm,2.5mm,,
168,achene_length,carex_scirpoidea_subsp_ convoluta,fruit_length,,1mm,1.5mm,,
169,achene_length,carex_leptalea,fruit_length,,1.3mm,1.9mm,,
170,achene_length,carex_parallela_subsp_ parallela,fruit_length,,1.6mm,2mm,,
171,achene_length,carex_gynocrates,fruit_length,,1.5mm,1.7mm,,
172,achene_length,carex_scirpoidea_subsp_ scirpoidea,fruit_length,,1.5mm,1.8mm,,
173,achene_length,carex_tenax,fruit_length,,3mm,3.5mm,,
174,achene_length,carex_williamsii,fruit_length,,1.2mm,1.5mm,,
175,achene_length,carex_hirtissima,fruit_length,,2mm,3.1mm,,
176,achene_length,carex_occidentalis,fruit_length,,1.9mm,2mm,,
177,achene_length,carex_fissa,fruit_length,,1.5mm,1.9mm,,
178,achene_length,carex_annectens,fruit_length,,1.2mm,1.5mm,,
179,achene_length,carex_socialis,fruit_length,,1.8mm,2.3mm,,
180,achene_length,trichophorum_alpinum,fruit_length,,1.2mm,1.6mm,,
181,achene_length,carex_castanea,fruit_length,,1.5mm,2mm,,
182,achene_length,carex_petricosa,fruit_length,,1.7mm,2.2mm,,
183,achene_length,scirpus_georgianus,fruit_length,,0.6mm,1.2mm,,
