,species_name,coded_property_name,collapsed_data_minimum,collapsed_data_maximum,collapsed_data_value
439,Carex_drepanorhyncha,inflorescence_length,3cm;2cm,5cm;5cm,
440,Carex_drepanorhyncha,inflorescence_width,0.3cm;0.4cm,0.5cm;0.5cm,
441,Carex_drepanorhyncha,leaf_width,3mm,5mm,
442,Carex_drepanorhyncha,nutlet_size,1.5mm,2mm,
443,Carex_drepanorhyncha,plant_height,20cm,45cm,tall;slender
444,Carex_drymophila,inflorescence_size,3cm,5cm,
445,Carex_drymophila,leaf_width,6mm;4mm;4mm;8mm;5mm,10mm;6mm;6mm;10mm;8mm,
446,Carex_drymophila,plant_height,70cm;60cm;60cm;0cm,100cm;70cm;70cm;100cm,tall;tall;tall
447,Carex_duriuscula,inflorescence_length,5mm,15mm,
448,Carex_duriuscula,inflorescence_size,4mm,6mm,
449,Carex_duriuscula,leaf_width,1mm,1.5mm,
450,Carex_duriuscula,nutlet_length,1.5mm,2mm,
451,Carex_duriuscula,nutlet_width,1.5mm,1.7mm,
452,Carex_duriuscula,plant_height,5cm,20cm,tall;slender
453,Carex_duthiei,inflorescence_length,10mm,15mm,
454,Carex_duthiei,inflorescence_width,4mm,5mm,
455,Carex_duthiei,leaf_width,3mm,5mm,
456,Carex_duthiei,plant_height,15cm,25cm,tall
457,Carex_duvaliana,inflorescence_length,15mm;10mm,22mm;20mm,
458,Carex_duvaliana,inflorescence_width,2mm;2mm,3mm;3mm,
459,Carex_duvaliana,leaf_width,1.5mm,3mm,
460,Carex_duvaliana,nutlet_size,1.5mm,2mm,
461,Carex_duvaliana,plant_height,20cm,35cm,tall;slender
462,Carex_earistata,inflorescence_length,2.5cm,4.5cm,
463,Carex_earistata,inflorescence_size,5mm,8mm,
464,Carex_earistata,inflorescence_width,1cm,1.5cm,
465,Carex_earistata,leaf_width,3mm,5mm,
466,Carex_earistata,plant_height,20cm,55cm,tall
467,Carex_echinochloiformis,inflorescence_length,8cm,13cm,
468,Carex_echinochloiformis,inflorescence_size,4mm,5mm,
469,Carex_echinochloiformis,leaf_width,4mm,5mm,
470,Carex_echinochloiformis,nutlet_size,1.3mm,2mm,
471,Carex_echinochloiformis,plant_height,35cm,90cm,tall
472,Carex_eleusinoides,inflorescence_length,10mm,25mm,
473,Carex_eleusinoides,leaf_width,2.5mm,4mm,
474,Carex_eleusinoides,nutlet_length,1.5mm,1.7mm,
475,Carex_eleusinoides,plant_height,30cm,40cm,tall;slender
476,Carex_eminens,leaf_width,5mm,8mm,
477,Carex_eminens,plant_height,80cm,120cm,tall
478,Carex_enervis,inflorescence_length,1cm,2cm,
479,Carex_enervis,inflorescence_width,0.7cm,1.4cm,
480,Carex_enervis,leaf_width,2mm,3mm,
481,Carex_enervis,nutlet_length,1.2mm,1.5mm,
482,Carex_enervis,plant_height,10cm,30cm,tall
483,Carex_ensifolia,inflorescence_length,8mm,20mm,
484,Carex_ensifolia,inflorescence_size,1cm,2cm,
485,Carex_ensifolia,inflorescence_width,4mm,5mm,
486,Carex_ensifolia,leaf_width,2mm,3mm,
487,Carex_ensifolia,plant_height,15cm,60cm,tall;slender
488,Carex_ereica,inflorescence_size,2cm;3cm,3cm;5cm,
489,Carex_ereica,leaf_width,5mm,8mm,
490,Carex_ereica,plant_height,0cm,85cm,tall
491,Carex_eremopyroides,inflorescence_size,0.8cm;1cm,1.2cm;1.8cm,
492,Carex_eremopyroides,leaf_width,2mm,3mm,
493,Carex_eremopyroides,nutlet_size,3mm,4mm,
494,Carex_eremopyroides,plant_height,5cm,25cm,tall
495,Carex_eriophylla,inflorescence_size,3cm;2.5cm,5cm;5cm,
496,Carex_eriophylla,leaf_width,5mm,8mm,
497,Carex_eriophylla,plant_height,70cm,100cm,tall
498,Carex_erythrobasis,inflorescence_size,7mm;2mm,10mm;3mm,
499,Carex_erythrobasis,plant_height,12cm,25cm,tall;slender
500,Carex_esquiroliana,inflorescence_length,1cm;0.8cm,4cm;4cm,
501,Carex_esquiroliana,inflorescence_width,0.1cm,0.3cm,0.1
502,Carex_esquiroliana,leaf_width,0.5cm,2.5cm,
503,Carex_fargesii,inflorescence_length,65mm;50mm,80mm;90mm,
504,Carex_fargesii,inflorescence_width,5mm,6mm,2
505,Carex_fargesii,leaf_width,0.8cm,1.2cm,
506,Carex_fargesii,plant_height,45cm;3mm,95cm;5mm,tall
507,Carex_fastigiata,inflorescence_size,3cm,4cm,
508,Carex_fastigiata,leaf_width,5mm,9mm,
509,Carex_fastigiata,plant_height,20cm,50cm,tall
510,Carex_fedia,inflorescence_size,2cm;0cm,3cm;12cm,
511,Carex_fedia,leaf_width,3mm,4mm,
512,Carex_fedia,plant_height,30cm,75cm,tall
513,Carex_filicina,inflorescence_size,5mm;8mm,15mm;20mm,
514,Carex_filicina,leaf_width,5mm,14mm,
515,Carex_filicina,plant_height,40cm,90cm,
516,Carex_filipedunculata,inflorescence_size,3cm;2mm;3.5cm;1.5cm;4mm,4.5cm;3mm;15cm;4.5cm;5mm,
517,Carex_filipedunculata,leaf_width,3mm,7mm,
518,Carex_filipedunculata,nutlet_size,1.5mm,1.8mm,
519,Carex_filipedunculata,plant_height,45cm,60cm,tall
520,Carex_filipes,inflorescence_size,2cm,3cm,
521,Carex_filipes,leaf_width,2mm;5mm;2mm,8mm;8mm;3mm,
522,Carex_filipes,nutlet_size,2.5mm,3mm,
523,Carex_filipes,plant_height,30cm,55cm,tall
524,Carex_finitima,inflorescence_size,4cm;1cm;2cm;0cm;1cm;2cm;2cm;5cm,5cm;2.5cm;4cm;10cm;5.5cm;12cm;5.5cm;10cm,
525,Carex_finitima,leaf_width,4mm,8mm,
526,Carex_finitima,plant_height,25cm;25cm;40cm,35cm;80cm;80cm,tall;tall;tall
527,Carex_fluviatilis,inflorescence_length,1.5cm,3.5cm,
528,Carex_fluviatilis,inflorescence_size,5mm,7mm,
529,Carex_fluviatilis,inflorescence_width,0.8cm,1.3cm,
530,Carex_fluviatilis,nutlet_size,1.3mm,1.5mm,
531,Carex_fluviatilis,plant_height,10cm,70cm,tall
532,Carex_foraminata,inflorescence_length,50mm;50mm,80mm;80mm,
533,Carex_foraminata,inflorescence_width,3mm;3mm,5mm;5mm,
534,Carex_foraminata,leaf_width,4mm,7mm,
535,Carex_foraminata,nutlet_size,1.5mm,2mm,
536,Carex_foraminata,plant_height,40cm,70cm,tall
537,Carex_foraminatiformis,inflorescence_length,30mm,60mm,
538,Carex_foraminatiformis,inflorescence_size,2cm,3.5cm,4
539,Carex_foraminatiformis,inflorescence_width,1.5mm,2mm,thick
540,Carex_foraminatiformis,leaf_width,6mm,12mm,
541,Carex_foraminatiformis,plant_height,30cm,40cm,tall
542,Carex_forficula,inflorescence_size,3cm;1.5cm,4cm;5cm,
543,Carex_forficula,nutlet_size,2mm,2.5mm,
544,Carex_forficula,plant_height,40cm,90cm,tall
545,Carex_forrestii,inflorescence_size,2.5cm;1.5cm,4.5cm;2.8cm,
546,Carex_forrestii,leaf_width,1.5mm,3mm,
547,Carex_forrestii,plant_height,10cm,25cm,tall;slender
548,Carex_fulvorubescens,inflorescence_size,0cm;0cm;2cm;1cm;1cm;1cm,12cm;10cm;4cm;3cm;12cm;10cm,
549,Carex_fulvorubescens,leaf_width,1.5mm;3mm;1.5mm,5mm;5mm;3mm,narrow
550,Carex_fulvorubescens,plant_height,10cm,35cm,tall
551,Carex_funhuangshanica,inflorescence_size,1cm;3mm,1.4cm;4mm,
552,Carex_funhuangshanica,leaf_width,2mm,4mm,
553,Carex_funhuangshanica,plant_height,23cm,26cm,tall;0.5
554,Carex_funingensis,leaf_width,7mm,9mm,
555,Carex_funingensis,plant_height,0cm,40cm,tall
556,Carex_gentilis,inflorescence_size,8mm,12mm,
557,Carex_gentilis,leaf_width,2mm;1.5mm;3mm;2mm;2mm,3mm;2mm;4.5mm;3mm;3mm,1.5;4.5
558,Carex_gentilis,plant_height,25cm,70cm,tall;slender
559,Carex_gibba,inflorescence_length,3cm;5mm,8cm;12mm,
560,Carex_gibba,inflorescence_width,3mm,5mm,
561,Carex_gibba,leaf_width,3mm,4mm,
562,Carex_gibba,plant_height,20cm,60cm,tall
563,Carex_giraldiana,inflorescence_size,6mm,8mm,1
564,Carex_giraldiana,leaf_width,2mm,5mm,
565,Carex_giraldiana,plant_height,16cm,30cm,tall
566,Carex_glabrescens,inflorescence_size,4cm,5cm,
567,Carex_glabrescens,leaf_width,3mm,4mm,
568,Carex_glabrescens,plant_height,30cm,50cm,tall
569,Carex_glauciformis,inflorescence_size,0.8cm,2cm,
570,Carex_glauciformis,leaf_width,2mm,3mm,
571,Carex_glauciformis,plant_height,30cm,70cm,tall
572,Carex_globistylosa,inflorescence_size,2cm;1.8cm,3cm;3cm,2
573,Carex_globistylosa,leaf_width,1mm,2mm,
574,Carex_globistylosa,plant_height,40cm,60cm,tall;1;slender
575,Carex_globularis,inflorescence_size,1cm;0.5cm,2cm;1.2cm,
576,Carex_globularis,leaf_width,1mm,2mm,
577,Carex_globularis,nutlet_size,1.8mm,2mm,
578,Carex_globularis,plant_height,20cm,60cm,tall;slender
579,Carex_glossostigma,inflorescence_size,2cm,3cm,
580,Carex_glossostigma,leaf_width,1cm,2.5cm,
581,Carex_glossostigma,plant_height,30cm,40cm,tall
582,Carex_gmelinii,inflorescence_size,2cm;1.5cm,3cm;3cm,
583,Carex_gmelinii,leaf_width,3mm,7mm,
584,Carex_gmelinii,plant_height,20cm,60cm,tall
585,Carex_goligongshanensis,inflorescence_length,15mm,30mm,
586,Carex_goligongshanensis,inflorescence_width,5mm,6mm,
587,Carex_goligongshanensis,leaf_width,3mm,5mm,
588,Carex_goligongshanensis,nutlet_size,1.8mm,1.9mm,
589,Carex_goligongshanensis,plant_height,40cm,60cm,tall;slender
590,Carex_gonggaensis,inflorescence_length,20mm,30mm,
591,Carex_gonggaensis,inflorescence_width,1.5mm,2mm,
592,Carex_gonggaensis,leaf_width,1mm,2mm,
593,Carex_gonggaensis,plant_height,25cm,35cm,tall;slender
594,Carex_gongshanensis,inflorescence_size,12mm,25mm,
595,Carex_gongshanensis,leaf_width,2mm,3mm,
596,Carex_gongshanensis,plant_height,70cm,80cm,tall;slender
597,Carex_gotoi,inflorescence_length,1.5cm,3.5cm,
598,Carex_gotoi,inflorescence_size,2.5cm,3cm,
599,Carex_gotoi,inflorescence_width,0.5cm,0.6cm,
600,Carex_gotoi,leaf_width,2mm,3mm,
601,Carex_gotoi,nutlet_size,1.5mm,2mm,
602,Carex_gotoi,plant_height,20cm,70cm,tall
603,Carex_grallatoria,inflorescence_length,1mm;1cm,1.5mm;2cm,
604,Carex_grallatoria,leaf_width,2mm,3mm,
605,Carex_grallatoria,nutlet_size,2mm,2.5mm,
606,Carex_grallatoria,plant_height,5cm,20cm,tall
607,Carex_graminiculmis,inflorescence_length,15mm;8mm,20mm;25mm,
608,Carex_graminiculmis,inflorescence_width,3mm;3mm,9mm;8mm,
609,Carex_graminiculmis,leaf_width,1.5mm,5mm,
610,Carex_graminiculmis,plant_height,60cm,70cm,tall;slender
611,Carex_grandiligulata,inflorescence_size,1cm,2cm,
612,Carex_grandiligulata,leaf_width,0mm;2.5mm,2mm;4mm,
613,Carex_grandiligulata,plant_height,20cm,30cm,tall
614,Carex_gynocrates,inflorescence_length,1.5cm,1.8cm,
615,Carex_gynocrates,plant_height,20cm,30cm,tall
616,Carex_haematostoma,inflorescence_size,1.4cm;1cm,1.8cm;3cm,
617,Carex_haematostoma,leaf_width,1.5mm,3mm,
618,Carex_haematostoma,plant_height,25cm,70cm,tall
619,Carex_hancockiana,inflorescence_size,1cm;1cm,2cm;1.5cm,
620,Carex_hancockiana,leaf_width,2mm,5mm,
621,Carex_hancockiana,plant_height,30cm,80cm,tall;slender
622,Carex_handelii,inflorescence_size,4cm,5cm,
623,Carex_handelii,leaf_width,1mm,2mm,
624,Carex_handelii,plant_height,15cm,25cm,tall;slender
625,Carex_hangzhouensis,inflorescence_length,3cm,8cm,
626,Carex_hangzhouensis,inflorescence_size,4cm;1.5cm,4.5cm;2cm,
627,Carex_hangzhouensis,inflorescence_width,1cm,1.7cm,
628,Carex_hangzhouensis,leaf_width,2.5mm,4mm,
629,Carex_hangzhouensis,nutlet_size,3.5mm,4mm,
630,Carex_hangzhouensis,plant_height,30cm,60cm,
631,Carex_harlandii,inflorescence_length,4.5cm,9cm,
632,Carex_harlandii,inflorescence_size,4.5cm,8cm,
633,Carex_harlandii,inflorescence_width,0.9cm,1.3cm,
634,Carex_harlandii,leaf_width,1cm,2.2cm,
635,Carex_harlandii,plant_height,30cm,90cm,tall
636,Carex_harrysmithii,inflorescence_size,5mm,10mm,
637,Carex_harrysmithii,leaf_width,1mm,2mm,
638,Carex_harrysmithii,plant_height,15cm,20cm,tall;slender
639,Carex_hastata,inflorescence_width,5mm,7mm,
640,Carex_hastata,leaf_width,4mm,6mm,
641,Carex_hastata,nutlet_size,0mm,5mm,
642,Carex_hastata,plant_height,25cm,40cm,tall;slender
643,Carex_hattoriana,leaf_width,3mm,5mm,
644,Carex_hattoriana,plant_height,60cm,100cm,tall
645,Carex_hebecarpa,inflorescence_size,1.5cm,4cm,2
646,Carex_hebecarpa,leaf_width,2mm,5mm,
647,Carex_hebecarpa,plant_height,30cm,50cm,tall;slender
648,Carex_hemineuros,inflorescence_length,2cm;2.5cm,3.5cm;4cm,
649,Carex_hemineuros,inflorescence_size,2cm,5cm,
650,Carex_hemineuros,inflorescence_width,6mm;5mm,8mm;8mm,3
651,Carex_hemineuros,leaf_width,5mm,7mm,
652,Carex_hemineuros,nutlet_length,1.5mm,2mm,
653,Carex_hemineuros,nutlet_width,1mm,1.5mm,
654,Carex_hemineuros,plant_height,55cm,80cm,tall
655,Carex_henryi,inflorescence_size,10mm,25mm,slender
656,Carex_henryi,leaf_width,3mm,4mm,
657,Carex_henryi,plant_height,80cm,140cm,tall
658,Carex_heshuonensis,inflorescence_size,0.7cm;1cm,1.5cm;1.5cm,
659,Carex_heshuonensis,leaf_width,1mm,2mm,
660,Carex_heshuonensis,plant_height,30cm,60cm,tall
661,Carex_heterolepis,inflorescence_length,20mm;10mm,40mm;45mm,
662,Carex_heterolepis,leaf_width,3mm,6mm,
663,Carex_heterolepis,nutlet_size,2mm,2.2mm,
664,Carex_heterolepis,plant_height,40cm,70cm,tall
665,Carex_heterostachya,inflorescence_size,0.8cm,1.8cm,
666,Carex_heterostachya,leaf_width,2mm,3mm,
667,Carex_heterostachya,plant_height,20cm,40cm,tall
668,Carex_heudesii,inflorescence_size,1.5cm;3mm,4cm;6mm,
669,Carex_heudesii,leaf_width,7mm,18mm,
670,Carex_heudesii,plant_height,30cm,45cm,tall;slender
671,Carex_hezhouensis,inflorescence_length,10mm,35mm,
672,Carex_hezhouensis,inflorescence_size,30mm,60mm,
673,Carex_hezhouensis,inflorescence_width,3mm,5mm,
674,Carex_hezhouensis,leaf_width,2.5mm,4mm,
675,Carex_hezhouensis,nutlet_size,1.5mm,2mm,
676,Carex_hezhouensis,plant_height,20cm,55cm,tall;slender
677,Carex_hirtelloides,inflorescence_length,8cm,12cm,
678,Carex_hirtelloides,inflorescence_width,0.2cm,0.3cm,
679,Carex_hirtelloides,plant_height,10cm,25cm,tall;slender
680,Carex_hirticaulis,inflorescence_size,2cm;2cm,4cm;2.8cm,
681,Carex_hirticaulis,leaf_width,2mm,3mm,
682,Carex_hirticaulis,plant_height,35cm,45cm,tall;slender
683,Carex_hirtiutriculata,inflorescence_size,1.5cm,2.5cm,
684,Carex_hirtiutriculata,plant_height,45cm,60cm,tall;slender
685,Carex_hongyuanensis,inflorescence_length,23mm;1cm,25mm;2.5cm,
686,Carex_hongyuanensis,inflorescence_width,2mm;0.5cm,4mm;0.6cm,
687,Carex_hongyuanensis,leaf_width,3mm,4mm,
688,Carex_hongyuanensis,plant_height,0cm,50cm,tall
689,Carex_hoozanensis,inflorescence_length,1.5cm,3cm,
690,Carex_hoozanensis,inflorescence_size,1.5cm,3cm,
691,Carex_hoozanensis,inflorescence_width,0.7cm,0.8cm,
692,Carex_hoozanensis,leaf_width,5mm,15mm,
693,Carex_hoozanensis,nutlet_size,4mm,5mm,
694,Carex_hoozanensis,plant_height,5cm;1.2mm,20cm;1.5mm,tall;slender
695,Carex_huashanica,inflorescence_size,2cm;3cm,5cm;6cm,
696,Carex_huashanica,leaf_width,4mm,6mm,
697,Carex_huashanica,plant_height,35cm,55cm,tall
698,Carex_humida,inflorescence_size,2cm;3cm,3cm;5cm,
699,Carex_humida,leaf_width,4mm,6mm,
700,Carex_humida,plant_height,50cm,70cm,tall
701,Carex_humilis,inflorescence_size,1cm;5mm,1.4cm;7mm,2
702,Carex_humilis,leaf_width,1mm;1mm,2mm;1.5mm,2
703,Carex_humilis,plant_height,2cm,5cm,tall;long
704,Carex_huolushanensis,inflorescence_size,2cm;1cm;2mm,2.5cm;4cm;3mm,3
705,Carex_huolushanensis,leaf_width,1mm,3mm,
706,Carex_huolushanensis,plant_height,15cm,40cm,tall;1.5;slender
707,Carex_hypoblephara,inflorescence_length,2cm,3cm,
708,Carex_hypoblephara,inflorescence_width,4mm,5mm,
709,Carex_hypoblephara,plant_height,0cm,50cm,tall
710,Carex_hypochlora,inflorescence_length,8mm;4mm,15mm;7mm,
711,Carex_hypochlora,inflorescence_width,3mm;3mm,4mm;4mm,
712,Carex_hypochlora,leaf_width,1mm,2.5mm,
713,Carex_hypochlora,plant_height,20cm,45cm,tall;slender
714,Carex_idzuroei,inflorescence_length,2cm,3cm,
715,Carex_idzuroei,inflorescence_size,2cm,4cm,
716,Carex_idzuroei,inflorescence_width,1cm,1.2cm,
717,Carex_idzuroei,leaf_width,4mm,9mm,
718,Carex_idzuroei,plant_height,30cm,60cm,tall
719,Carex_inanis,inflorescence_size,1.5cm;0.8cm,4cm;2.5cm,
720,Carex_inanis,leaf_width,1mm,2mm,
721,Carex_inanis,plant_height,10cm,50cm,tall;slender
722,Carex_indica,inflorescence_size,6mm,10mm,
723,Carex_indica,leaf_width,6mm,8mm,
724,Carex_indica,plant_height,40cm,100cm,
725,Carex_indiciformis,inflorescence_length,1/5,1/3,
726,Carex_indiciformis,inflorescence_size,10mm;5mm,20mm;16mm,
727,Carex_indiciformis,leaf_width,8mm,15mm,
728,Carex_indiciformis,plant_height,60cm,100cm,
729,Carex_infossa,inflorescence_size,0.8cm,2cm,5
730,Carex_infossa,leaf_width,2.5mm,3mm,
731,Carex_infossa,plant_height,0cm,30cm,tall;slender
732,Carex_insignis,inflorescence_size,1.5cm,5cm,
733,Carex_insignis,leaf_width,4mm,5mm,
734,Carex_insignis,plant_height,90cm,100cm,tall
735,Carex_ischnostachya,inflorescence_size,1.5cm;2cm,3cm;6cm,
736,Carex_ischnostachya,leaf_width,4mm,6mm,
737,Carex_ischnostachya,plant_height,30cm,60cm,tall;slender
738,Carex_ivanoviae,inflorescence_size,8mm;8mm;5mm,10mm;15mm;8mm,
739,Carex_ivanoviae,leaf_width,0mm,1mm,
740,Carex_ivanoviae,plant_height,10cm,15cm,tall
741,Carex_jaluensis,inflorescence_size,1.5cm;1.5cm,5cm;6cm,
742,Carex_jaluensis,leaf_width,3mm,6mm,
743,Carex_jaluensis,plant_height,30cm,85cm,tall
744,Carex_japonica,inflorescence_size,2cm;1cm,4cm;2.5cm,
745,Carex_japonica,leaf_width,3mm,4mm,
746,Carex_japonica,plant_height,20cm,40cm,tall;slender
747,Carex_jiaodongensis,leaf_width,2mm,3mm,
748,Carex_jiaodongensis,plant_height,15cm,20cm,tall
749,Carex_jinfoshanensis,inflorescence_length,55mm,120mm,
750,Carex_jinfoshanensis,inflorescence_width,4mm,5mm,
751,Carex_jinfoshanensis,leaf_width,3.5mm,5mm,
752,Carex_jinfoshanensis,plant_height,80cm;1.5mm,100cm;2mm,tall
753,Carex_jiuxianshanensis,inflorescence_size,3cm,6cm,
754,Carex_jiuxianshanensis,leaf_width,3mm;5mm,5mm;7mm,
755,Carex_jiuxianshanensis,plant_height,30cm,70cm,tall
756,Carex_jizhuangensis,inflorescence_size,1cm,3cm,
757,Carex_jizhuangensis,leaf_width,2mm,3mm,
758,Carex_jizhuangensis,nutlet_size,3mm,5mm,
759,Carex_jizhuangensis,plant_height,40cm,60cm,tall
760,Carex_kansuensis,leaf_width,5mm,7mm,
761,Carex_kansuensis,plant_height,45cm,100cm,tall
762,Carex_kaoi,inflorescence_size,5mm,7mm,
763,Carex_kaoi,leaf_width,1cm,1.5cm,
764,Carex_kaoi,plant_height,7cm,13cm,tall
765,Carex_karlongensis,inflorescence_size,2.5cm,3cm,
766,Carex_karlongensis,leaf_width,1.5mm,2mm,
767,Carex_karlongensis,plant_height,20cm,25cm,tall;slender
768,Carex_karoi,inflorescence_size,4mm;4mm,10mm;15mm,
769,Carex_karoi,leaf_width,1mm,2mm,
770,Carex_karoi,plant_height,10cm,40cm,tall;slender
771,Carex_kiangsuensis,inflorescence_length,12mm;8mm,25mm;15mm,
772,Carex_kiangsuensis,inflorescence_width,3mm;2mm,5mm;3mm,
773,Carex_kiangsuensis,leaf_width,2mm,3mm,
774,Carex_kiangsuensis,plant_height,20cm,45cm,tall;slender
775,Carex_kiotensis,inflorescence_length,5cm,9cm,
776,Carex_kiotensis,inflorescence_size,4cm,8cm,
777,Carex_kiotensis,inflorescence_width,0.4cm,0.5cm,
778,Carex_kiotensis,leaf_width,6mm,13mm,
779,Carex_kiotensis,plant_height,30cm,60cm,tall
780,Carex_kirganica,inflorescence_length,2cm,5.5cm,
781,Carex_kirganica,inflorescence_size,3cm,4cm,
782,Carex_kirganica,nutlet_size,2mm,3mm,
783,Carex_kirganica,plant_height,40cm,70cm,tall
784,Carex_kirinensis,leaf_width,0.5mm,0.8mm,
785,Carex_kobomugi,inflorescence_length,4cm;4cm,5cm;6cm,
786,Carex_kobomugi,inflorescence_size,10mm,15mm,
787,Carex_kobomugi,inflorescence_width,1.2cm,1.3cm,3
788,Carex_kobomugi,leaf_width,3mm,8mm,
789,Carex_kobomugi,plant_height,10cm;3mm,20cm;4mm,tall
790,Carex_korshinskii,inflorescence_size,1cm;5mm,2.5cm;10mm,
791,Carex_korshinskii,leaf_width,1mm,2mm,
792,Carex_korshinskii,nutlet_size,2mm,2.5mm,
793,Carex_korshinskii,plant_height,15cm,35cm,tall;slender
794,Carex_kuchunensis,inflorescence_size,5cm;5cm,7.5cm;7.5cm,
795,Carex_kuchunensis,leaf_width,6mm,8mm,
796,Carex_kuchunensis,plant_height,50cm,76cm,tall
797,Carex_kucyniakii,inflorescence_length,25mm,40mm,
798,Carex_kucyniakii,inflorescence_width,3mm,4mm,
799,Carex_kucyniakii,leaf_width,4cm,10cm,
800,Carex_kucyniakii,plant_height,22cm,35cm,slender
801,Carex_kunlunsanensis,inflorescence_length,1cm;0.8cm,1.5cm;1.5cm,
802,Carex_kunlunsanensis,plant_height,3cm;7cm,7cm;16cm,tall;slender
803,Carex_kwangsiensis,inflorescence_size,7mm,18mm,
804,Carex_kwangsiensis,leaf_width,5mm,7mm,
805,Carex_kwangsiensis,plant_height,30cm,50cm,
806,Carex_kwangtoushanica,inflorescence_size,8mm;8mm,12mm;12mm,
807,Carex_kwangtoushanica,leaf_width,1mm,1.5mm,
808,Carex_kwangtoushanica,plant_height,10cm,20cm,tall;slender
809,Carex_lachenalii,inflorescence_size,0.8cm;4mm,1.2cm;8mm,small
810,Carex_lachenalii,leaf_width,1mm,2mm,
811,Carex_lachenalii,plant_height,8cm,20cm,tall
812,Carex_laeta,inflorescence_size,8mm;1cm,10mm;2.5cm,3
813,Carex_laeta,leaf_width,1mm,1.5mm,
814,Carex_laeta,plant_height,10cm,30cm,tall;1;slender
815,Carex_laevissima,inflorescence_length,3cm,4.5cm,
816,Carex_laevissima,inflorescence_width,1cm,1.3cm,
817,Carex_laevissima,nutlet_size,1mm,1.2mm,
818,Carex_laevissima,plant_height,25cm,50cm,tall
819,Carex_lancangensis,inflorescence_size,10cm,17cm,
820,Carex_lancangensis,leaf_width,5mm,7mm,
821,Carex_lancangensis,nutlet_size,1.8mm,2mm,
822,Carex_lancangensis,plant_height,150cm;3mm,160cm;4mm,tall
823,Carex_lanceolata,inflorescence_size,5mm;1.5mm;1cm;2.5mm,15mm;2mm;1.7cm;3mm,
824,Carex_lanceolata,nutlet_size,2.5mm,2.8mm,
825,Carex_lanceolata,plant_height,10cm;10cm,35cm;35cm,tall;tall;shorter than 10-35 cm tall;elongating;1.5;slender
826,Carex_lancifolia,inflorescence_size,1.5mm;1cm,2mm;1.5cm,1
827,Carex_lancifolia,leaf_width,6mm,7mm,
828,Carex_lancifolia,plant_height,10cm,15cm,tall;slender
829,Carex_lancisquamata,inflorescence_size,1.5cm;4cm,3cm;5cm,
830,Carex_lancisquamata,leaf_width,2mm,4mm,
831,Carex_lancisquamata,plant_height,40cm,45cm,tall;slender
832,Carex_laricetorum,inflorescence_length,1.8cm,2.7cm,
833,Carex_laricetorum,inflorescence_size,5mm,7mm,
834,Carex_laricetorum,leaf_width,1.5mm,2mm,
835,Carex_laricetorum,plant_height,20cm,60cm,tall;slender
836,Carex_lasiocarpa,inflorescence_size,2cm;1.5cm;5mm,3cm;3cm;6mm,
837,Carex_lasiocarpa,leaf_width,1mm,2mm,
838,Carex_lasiocarpa,plant_height,50cm,100cm,tall
839,Carex_laticeps,inflorescence_length,2cm,2.5cm,
840,Carex_laticeps,inflorescence_size,1.5cm,2.5cm,
841,Carex_laticeps,inflorescence_width,1cm,1.4cm,
842,Carex_laticeps,leaf_width,3mm,5mm,
843,Carex_laticeps,plant_height,30cm,40cm,tall;slender
844,Carex_latisquamea,inflorescence_size,1cm;1cm,2cm;2.5cm,
845,Carex_latisquamea,leaf_width,3mm,6mm,
846,Carex_latisquamea,nutlet_size,2.5mm,3mm,
847,Carex_latisquamea,plant_height,30cm,75cm,tall
848,Carex_laxa,inflorescence_size,1cm,2cm,
849,Carex_laxa,leaf_width,1mm,2mm,
850,Carex_laxa,plant_height,25cm,35cm,tall;slender
851,Carex_ledebouriana,inflorescence_size,6mm;5mm,10mm;12mm,
852,Carex_ledebouriana,leaf_width,1mm,2mm,
853,Carex_ledebouriana,plant_height,10cm,15cm,tall;slender
854,Carex_lehmannii,inflorescence_size,5mm;5mm,8mm;9mm,
855,Carex_lehmannii,leaf_width,2mm,5mm,
856,Carex_lehmannii,nutlet_size,1.2mm,1.7mm,
857,Carex_lehmannii,plant_height,15cm,70cm,tall;slender
858,Carex_leiorhyncha,inflorescence_length,5cm;5mm,8cm;12mm,
859,Carex_leiorhyncha,inflorescence_width,4mm,6mm,
860,Carex_leiorhyncha,leaf_width,3mm,5mm,
861,Carex_leiorhyncha,nutlet_size,1mm,1.2mm,
862,Carex_leiorhyncha,plant_height,20cm,80cm,tall
863,Carex_leporina,inflorescence_length,2cm;5mm,2.5cm;10mm,
864,Carex_leporina,inflorescence_width,0.8cm;3mm,1.3cm;6mm,
865,Carex_leporina,plant_height,50cm;0.8mm,80cm;1mm,tall;slender
866,Carex_lianchengensis,leaf_width,1.5mm,2.5mm,
867,Carex_lianchengensis,plant_height,2cm,10cm,tall
868,Carex_ligata,inflorescence_length,10mm,20mm,
869,Carex_ligata,inflorescence_size,3cm,5cm,1
870,Carex_ligata,inflorescence_width,3mm,4mm,thick
871,Carex_ligata,leaf_width,4mm,6mm,
872,Carex_ligata,plant_height,25cm,50cm,tall;slender
873,Carex_ligulata,inflorescence_size,1cm;2.5cm;5mm,2cm;4cm;6mm,
874,Carex_ligulata,leaf_width,6mm;0mm,12mm;15mm,
875,Carex_ligulata,nutlet_size,2.5mm,3mm,
876,Carex_ligulata,plant_height,35cm,70cm,tall
877,Carex_limosa,inflorescence_size,2cm;1cm,2.5cm;2cm,
