,species_name,coded_property_name,collapsed_data_minimum,collapsed_data_maximum,collapsed_data_value
101,Carex_atrofusca,leaf_width,2mm;3mm,3mm;5mm,
102,Carex_atrofusca,nutlet_size,1.5mm,1.8mm,
103,Carex_atrofusca,plant_height,10cm,70cm,tall
104,Carex_atrofuscoides,inflorescence_length,1cm,1.5cm,
105,Carex_atrofuscoides,inflorescence_width,0.8cm,1.2cm,
106,Carex_atrofuscoides,leaf_width,2mm,4mm,
107,Carex_atrofuscoides,plant_height,20cm,30cm,tall
108,Carex_augustinowiczii,inflorescence_size,1cm;1.5cm,1.7cm;3.5cm,
109,Carex_augustinowiczii,leaf_width,2mm,3mm,
110,Carex_augustinowiczii,plant_height,30cm,50cm,tall;slender
111,Carex_austro-occidentalis,inflorescence_length,6mm,8mm,short;longer than male part
112,Carex_austro-occidentalis,plant_height,10cm,25cm,tall;slender
113,Carex_austrosinensis,inflorescence_length,3cm;1/3,4cm;1/2,
114,Carex_austrosinensis,inflorescence_width,0.2cm,0.25cm,
115,Carex_austrosinensis,leaf_width,1.5mm,3mm,
116,Carex_austrosinensis,nutlet_size,2.5mm,3mm,
117,Carex_austrosinensis,plant_height,25cm,45cm,tall;slender
118,Carex_austrozhejiangensis,inflorescence_size,1.5cm;2cm,2cm;3.5cm,
119,Carex_austrozhejiangensis,leaf_width,7mm,12mm,
120,Carex_austrozhejiangensis,plant_height,15cm,40cm,tall;slender
121,Carex_autumnalis,inflorescence_size,2cm;1cm,3cm;2.5cm,
122,Carex_autumnalis,leaf_width,2mm,3mm,
123,Carex_autumnalis,plant_height,60cm;50cm,70cm;60cm,tall;slender
124,Carex_baccans,inflorescence_length,1/3,1/2,
125,Carex_baccans,inflorescence_size,3cm,6cm,
126,Carex_baccans,leaf_width,8mm,12mm,
127,Carex_baccans,plant_height,80cm,150cm,
128,Carex_baimaensis,inflorescence_length,3cm,5cm,
129,Carex_baimaensis,inflorescence_size,1.2cm,2cm,
130,Carex_baimaensis,leaf_width,3mm,5mm,
131,Carex_baimaensis,plant_height,20cm,40cm,tall
132,Carex_baiposhanensis,inflorescence_size,2cm,3.5cm,
133,Carex_baiposhanensis,leaf_width,5mm,7mm,
134,Carex_baiposhanensis,nutlet_size,2.8mm,3mm,
135,Carex_baiposhanensis,plant_height,40cm,50cm,tall;slender
136,Carex_baohuashanica,leaf_width,3mm,4mm,
137,Carex_baohuashanica,plant_height,50cm,60cm,tall;slender
138,Carex_basilata,inflorescence_size,4mm,6mm,
139,Carex_basilata,leaf_width,1mm,2mm,
140,Carex_basilata,plant_height,20cm,40cm,tall;slender
141,Carex_benkei,inflorescence_size,1cm;1cm,2cm;3cm,
142,Carex_benkei,leaf_width,3mm,4mm,
143,Carex_benkei,plant_height,30cm,60cm,tall
144,Carex_bijiangensis,inflorescence_length,2cm,3cm,
145,Carex_bijiangensis,inflorescence_width,0.8cm,0.9cm,
146,Carex_bijiangensis,leaf_width,4mm,7mm,
147,Carex_bijiangensis,plant_height,50cm,60cm,tall
148,Carex_bilateralis,inflorescence_size,10mm,15mm,
149,Carex_bilateralis,leaf_width,2mm,3mm,
150,Carex_bilateralis,plant_height,40cm,60cm,tall
151,Carex_blinii,inflorescence_size,3mm;5mm,5mm;7mm,
152,Carex_blinii,leaf_width,2mm;3mm;2mm,5mm;7mm;7mm,
153,Carex_blinii,nutlet_length,2.3mm,2.4mm,
154,Carex_blinii,plant_height,3cm,13cm,tall
155,Carex_bodinieri,inflorescence_size,1cm;0cm;1.5cm,1.5cm;18cm;3.5cm,
156,Carex_bodinieri,leaf_width,2mm,4mm,
157,Carex_bodinieri,plant_height,35cm,100cm,tall;slender
158,Carex_bohemica,inflorescence_length,1.5cm,2cm,
159,Carex_bohemica,inflorescence_size,1cm,1.5cm,
160,Carex_bohemica,inflorescence_width,1.5cm,2cm,
161,Carex_bohemica,leaf_width,2mm,4mm,
162,Carex_bohemica,plant_height,25cm,40cm,tall
163,Carex_borealihinganica,inflorescence_size,1cm;5mm,1.5cm;15mm,
164,Carex_borealihinganica,leaf_width,2mm,4mm,
165,Carex_borealihinganica,nutlet_length,1.5mm,1.8mm,
166,Carex_borealihinganica,plant_height,40cm,50cm,tall
167,Carex_bostrychostigma,inflorescence_size,2cm;0cm;2cm,4cm;6cm;4cm,
168,Carex_bostrychostigma,leaf_width,3mm,4mm,
169,Carex_bostrychostigma,plant_height,20cm,50cm,tall;slender
170,Carex_brachyathera,inflorescence_length,2.5cm,4.5cm,
171,Carex_brachyathera,inflorescence_size,2cm,3cm,
172,Carex_brachyathera,leaf_width,1.5mm,2.5mm,
173,Carex_brachyathera,nutlet_size,2mm,2.5mm,
