,property_name,species_name,coded_property_name,property_constraint,from,to,value,atypical
90,blade_width,Carex_olivacea,leaf_width,,8mm,18mm,,
91,blade_width,Carex_radiciflora,leaf_width,,1.4cm,2cm,,
92,blade_width,Carex_canaliculata,leaf_width,,4mm,6mm,,
93,blade_width,Carex_submollicula,leaf_width,,2mm,4mm,,
94,blade_width,Carex_tapinzensis,leaf_width,,2mm,4mm,,
95,blade_width,Carex_dayuongensis,leaf_width,,1mm,2mm,,
96,blade_width,Carex_subebracteata,leaf_width,,1.5mm,2.5mm,,
97,blade_width,Carex_chuana,leaf_width,,,,1,
98,blade_width,Scirpus_karuisawensis,leaf_width,leaf,4mm,10mm,,
99,blade_width,Carex_pergracilis,leaf_width,,1mm,2mm,,
100,blade_width,Kobresia_kuekenthaliana,leaf_width,,1.5mm,2.5mm,,
101,blade_width,Carex_alba,leaf_width,,,,1,
102,blade_width,Kobresia_royleana,leaf_width,,2mm,4mm,,
103,blade_width,Kobresia_pygmaea,leaf_width,,0.3mm,0.5mm,,
104,blade_width,Carex_urelytra,leaf_width,,3mm,5mm,,
105,blade_width,Carex_fargesii,leaf_width,,0.8cm,1.2cm,,
106,blade_width,Carex_melinacra,leaf_width,,3mm,5mm,,
107,blade_width,Carex_cremostachys,leaf_width,,4mm,6mm,,
108,blade_width,Kobresia_royleana,leaf_width,,2mm,4mm,,
109,blade_width,Kobresia_uncinioides,leaf_width,,2mm,4mm,,
110,blade_width,Carex_bodinieri,leaf_width,,2mm,4mm,,
111,blade_width,Carex_lushanensis,leaf_width,,,,3,
112,blade_width,Scirpus_lushanensis,leaf_width,leaf,0.5cm,1.5cm,,
113,blade_width,Carex_chlorocephalula,leaf_width,,1.5mm,3mm,,
114,blade_width,Carex_neurocarpa,leaf_width,,2mm,3mm,,
115,blade_width,Carex_breviaristata,leaf_width,,3mm,5mm,,
116,blade_width,Carex_obovatosquamata,leaf_width,,1.3mm,2.2mm,,
117,blade_width,Carex_qingyangensis,leaf_width,,3mm,4mm,,
118,blade_width,Carex_wushanensis,leaf_width,,1.5mm,3mm,,
119,blade_width,Carex_mollicula,leaf_width,,4mm,8mm,,
120,blade_width,Carex_recurvisaccus,leaf_width,,0.7cm,1.5cm,,
121,blade_width,Carex_kuchunensis,leaf_width,,6mm,8mm,,
122,blade_width,Carex_manca,leaf_width,,2mm,3mm,,
123,blade_width,Carex_wahuensis,leaf_width,,3mm,12mm,,
124,blade_width,Carex_japonica,leaf_width,,3mm,4mm,,
125,blade_width,Carex_alajica,leaf_width,,1.5mm,2.5mm,,
126,blade_width,Carex_confertiflora,leaf_width,,8mm,12mm,,
127,blade_width,Carex_pediformis,leaf_width,,2mm,3mm,,
128,blade_width,Carex_capilliculmis,leaf_width,,1mm,2.5mm,,
129,blade_width,Carex_callitrichos,leaf_width,,0.8mm,1mm,,atypical
