,species_name,coded_property_name,collapsed_data
100,Carex_bostrychostigma,maximum_plant_height,";20cm,50cm;"
101,Carex_brachyathera,maximum_leaf_width,"1.5mm,2.5mm"
102,Carex_brachyathera,maximum_plant_height,";30cm,60cm;"
103,Carex_breviaristata,maximum_leaf_width,"3mm,5mm"
104,Carex_breviaristata,maximum_plant_height,";15cm,35cm;"
105,Carex_breviculmis,maximum_leaf_width,"3mm,5mm;2mm,3mm"
106,Carex_breviculmis,maximum_plant_height,";8cm,40cm;"
107,Carex_brevicuspis,maximum_leaf_width,"5mm,10mm"
108,Carex_brevicuspis,maximum_plant_height,";;20cm,55cm"
109,Carex_breviscapa,maximum_leaf_width,"4mm,7mm"
110,Carex_breviscapa,maximum_plant_height,";10cm,20cm"
111,Carex_brownii,maximum_leaf_width,"3mm,4mm"
112,Carex_brownii,maximum_plant_height,";30cm,60cm"
113,Carex_brunnea,maximum_leaf_width,"2mm,3mm"
114,Carex_brunnea,maximum_plant_height,";;40cm,70cm"
115,Carex_burttii,maximum_leaf_width,"2mm,3.5mm"
116,Carex_burttii,maximum_plant_height,"40cm,80cm"
117,Carex_caespititia,maximum_leaf_width,"3mm,4mm"
118,Carex_caespititia,maximum_plant_height,";15cm,20cm;"
119,Carex_caespitosa,maximum_leaf_width,"2mm,3.5mm"
120,Carex_caespitosa,maximum_plant_height,";40cm,90cm;"
121,Carex_calcicola,maximum_leaf_width,"0.8cm,1.1cm"
122,Carex_calcicola,maximum_plant_height,";50cm,60cm"
123,Carex_callitrichos,maximum_leaf_width,"0.8mm,1mm;0.2mm,0.8mm"
124,Carex_callitrichos,maximum_plant_height,";2cm,6cm"
125,Carex_canaliculata,maximum_leaf_width,"4mm,6mm"
126,Carex_canaliculata,maximum_plant_height,";18cm,30cm;"
127,Carex_canescens,maximum_leaf_width,"2mm,3mm"
128,Carex_canescens,maximum_plant_height,";25cm,50cm"
129,Carex_capillacea,maximum_inflorescence_length,"4mm,7mm;3mm,6mm"
130,Carex_capillacea,maximum_leaf_width,"0.5mm,1mm"
131,Carex_capillacea,maximum_plant_height,";15cm,40cm"
132,Carex_capillaris,maximum_leaf_width,"1.5mm,2mm"
133,Carex_capillaris,maximum_plant_height,";15cm,40cm;"
134,Carex_capilliculmis,maximum_leaf_width,"1mm,2.5mm"
135,Carex_capilliculmis,maximum_plant_height,";15cm,20cm;"
136,Carex_capilliformis,maximum_leaf_width,"0.5mm,3mm"
137,Carex_capilliformis,maximum_plant_height,"6cm,10cm;;10cm,50cm"
138,Carex_capricornis,maximum_leaf_width,"3mm,8mm"
139,Carex_capricornis,maximum_plant_height,";;30cm,70cm"
140,Carex_cardiolepis,maximum_leaf_width,"1mm,2mm"
141,Carex_cardiolepis,maximum_plant_height,";20cm,40cm;"
142,Carex_caucasica,maximum_leaf_width,"4mm,8mm;3mm,8mm;3mm,5mm"
143,Carex_caucasica,maximum_plant_height,";25cm,70cm"
144,Carex_caudispicata,maximum_leaf_width,"3mm,5mm"
145,Carex_caudispicata,maximum_plant_height,";;10cm,30cm;1mm,1.5mm"
146,Carex_changmuensis,maximum_leaf_width,"3mm,4mm"
147,Carex_changmuensis,maximum_plant_height,";30cm,40cm;"
148,Carex_chaofangii,maximum_leaf_width,"6mm,10mm"
149,Carex_chaofangii,maximum_plant_height,";25cm,35cm"
150,Carex_cheniana,maximum_leaf_width,"5mm,9mm"
151,Carex_cheniana,maximum_plant_height,";40cm,57cm"
152,Carex_chinensis,maximum_leaf_width,"3mm,9mm"
153,Carex_chinensis,maximum_plant_height,";20cm,55cm;"
154,Carex_chinganensis,maximum_leaf_width,"1mm,1.5mm"
155,Carex_chinganensis,maximum_plant_height,";20cm,40cm;"
156,Carex_chiwuana,maximum_leaf_width,"3mm,5mm"
157,Carex_chiwuana,maximum_plant_height,";18cm,30cm;;"
158,Carex_chlorocephalula,maximum_leaf_width,"1.5mm,3mm"
159,Carex_chlorocephalula,maximum_plant_height,";6cm,30cm;"
160,Carex_chlorostachys,maximum_leaf_width,"2mm,2.5mm"
161,Carex_chlorostachys,maximum_plant_height,"30cm,50cm;;10cm,30cm;"
162,Carex_chrysolepis,maximum_leaf_width,"1.5mm,3mm"
163,Carex_chrysolepis,maximum_plant_height,";10cm,35cm;"
164,Carex_chuana,maximum_leaf_width,
165,Carex_chuana,maximum_plant_height,";10cm,20cm;;"
166,Carex_chui,maximum_leaf_width,"1mm,1.5mm"
167,Carex_chui,maximum_plant_height,";5cm,20cm;"
168,Carex_chungii,maximum_leaf_width,"2mm,3mm;1.5mm,2mm"
169,Carex_chungii,maximum_plant_height,";25cm,50cm;"
170,Carex_cinerascens,maximum_leaf_width,"2mm,4mm"
171,Carex_cinerascens,maximum_plant_height,";25cm,60cm"
172,Carex_commixta,maximum_leaf_width,"2cm,2.5cm"
173,Carex_commixta,maximum_plant_height,"30cm,100cm"
174,Carex_composita,maximum_leaf_width,"2mm,3mm"
175,Carex_composita,maximum_plant_height,"40cm,60cm"
