,species_name,coded_property_name,collapsed_data_minimum,collapsed_data_maximum,collapsed_data_value
106,carex_aquatilis,plant_height,20cm;20cm;35cm;35cm;35cm,150cm;120cm;150cm;100cm;100cm,
107,carex_arapahoensis,inflorescence_length,2cm;1.2cm,2.5cm;2cm,
108,carex_arapahoensis,inflorescence_width,8mm;12mm,12mm;18mm,
109,carex_arapahoensis,leaf_width,2.2mm,3.2mm,
110,carex_arapahoensis,plant_height,20cm,30cm,
111,carex_arcta,inflorescence_length,1.5cm,4cm,
112,carex_arcta,inflorescence_width,7mm,12mm,
113,carex_arcta,leaf_width,2mm,4mm,
114,carex_arcta,plant_height,15cm,80cm,slender
115,carex_arctata,fruit_length,1.7mm,2.6mm,
116,carex_arctata,fruit_width,0.8mm,1.7mm,
117,carex_arctata,leaf_width,10mm;3mm;2mm,13mm;10mm;3mm,thick
118,carex_arctata,plant_height,20cm,100cm,
119,carex_arctiformis,fruit_width,1mm,1.25mm,
120,carex_arctiformis,inflorescence_length,3cm;1.5cm,4cm;3cm,
121,carex_arctiformis,inflorescence_width,8mm,14mm,
122,carex_arctiformis,leaf_width,subequal;2mm,shorter;4mm,
123,carex_arctiformis,plant_height,15cm;15cm;20cm,20cm;20cm;50cm,
124,carex_arenaria,inflorescence_length,2cm,8cm,
125,carex_arenaria,leaf_width,1.5mm,4mm,
126,carex_arenaria,plant_height,15cm,60cm,
127,carex_argyrantha,fruit_length,1.5mm,1.75mm,
128,carex_argyrantha,fruit_width,1mm,1.2mm,
129,carex_argyrantha,inflorescence_length,2.5cm,6.5cm,
130,carex_argyrantha,inflorescence_width,7mm,17mm,
131,carex_argyrantha,leaf_width,2mm,5mm,
132,carex_argyrantha,plant_height,30cm,100cm,
133,carex_arkansana,fruit_length,1.5mm,2mm,
134,carex_arkansana,fruit_width,1.5mm,1.8mm,
135,carex_arkansana,inflorescence_length,1.5cm,4cm,
136,carex_arkansana,inflorescence_width,7mm,12mm,
137,carex_arkansana,leaf_width,1mm,2.5mm,
138,carex_arkansana,plant_height,15cm,60cm,
139,carex_assiniboinensis,fruit_length,1.8mm,2.5mm,
140,carex_assiniboinensis,fruit_width,0.7mm,1mm,
141,carex_assiniboinensis,leaf_width,1mm;1.5mm,3mm;2.2mm,thick
142,carex_assiniboinensis,plant_height,35cm,75cm,
143,carex_atherodes,inflorescence_length,12cm,60cm,
144,carex_atherodes,leaf_width,3mm,10mm,
145,carex_atherodes,plant_height,35cm,125cm,taller
146,carex_athrostachya,inflorescence_length,0.8cm;1.5cm,1.5cm;2.2cm,
147,carex_athrostachya,inflorescence_width,7mm,20mm,
148,carex_athrostachya,plant_height,5cm;5cm;20cm,20cm;20cm;80cm,
149,carex_atlantica,fruit_length,1mm,1.9mm,
150,carex_atlantica,fruit_width,1mm,1.7mm,
151,carex_atlantica,inflorescence_length,1.5cm;0.8cm;1.8cm;0.8cm,1.8cm;2cm;5.5cm;5.5cm,
152,carex_atlantica,leaf_width,4mm;0.4mm;0.4mm;0.65mm;0.8mm;4mm;1mm;4mm;1.6mm;4mm;0.8mm,4.5mm;4mm;1.55mm;0.8mm;1.6mm;4.5mm;4mm;4.5mm;4mm;4.5mm;4mm,widest;widest
153,carex_atlantica,plant_height,10cm;25cm;10cm,60cm;110cm;110cm,
154,carex_atrata,branch_quantity,4;2,6;4,
155,carex_atrata,leaf_width,3mm,5mm,
156,carex_atrata,plant_height,10cm;10cm;40cm;40cm;30cm,30cm;30cm;60cm;60cm;40cm,
157,carex_atratiformis,branch_quantity,3,6,
158,carex_atratiformis,leaf_width,2.5mm,5mm,
159,carex_atratiformis,plant_height,20cm,70cm,
160,carex_atrofusca,fruit_length,1.4mm,1.6mm,
161,carex_atrofusca,fruit_width,0.7mm,0.9mm,
162,carex_atrofusca,inflorescence_length,6cm;2cm,8cm;6cm,
163,carex_atrofusca,leaf_width,2mm,4mm,
164,carex_atrofusca,plant_height,30cm;30cm;0cm,60cm;60cm;30cm,
165,carex_atrosquama,branch_quantity,3;2,5;3,
166,carex_atrosquama,leaf_width,3mm,5mm,
167,carex_atrosquama,plant_height,20cm,50cm,
168,carex_aurea,fruit_length,1.4mm,1.8mm,
169,carex_aurea,fruit_width,1mm,1.5mm,
170,carex_aurea,leaf_width,1.4mm,3mm,
171,carex_aurea,plant_height,5cm,40cm,
172,carex_aureolensis,leaf_width,2mm,8.5mm,
173,carex_aureolensis,plant_height,10cm;10cm;20cm,20cm;20cm;85cm,
174,carex_austrina,fruit_length,1.9mm,2.5mm,
175,carex_austrina,fruit_width,1.5mm,2mm,
176,carex_austrina,inflorescence_length,1.5cm,3.5cm,
177,carex_austrina,inflorescence_width,8mm,15mm,
178,carex_austrina,leaf_width,2.5mm,4.5mm,
179,carex_austrina,plant_height,20cm,90cm,
180,carex_austrocaroliniana,fruit_length,1.8mm,2mm,
181,carex_austrocaroliniana,fruit_width,1.8mm,2mm,
182,carex_austrocaroliniana,leaf_width,2mm;6mm;3mm,3mm;7mm;6mm,
183,carex_austrocaroliniana,plant_height,19cm,51cm,
184,carex_backii,fruit_length,2.5mm,3.2mm,
185,carex_backii,fruit_width,1.6mm,2.3mm,
186,carex_backii,leaf_width,1.3mm,5.4mm,
187,carex_backii,plant_height,1.4cm,25cm,
188,carex_baileyi,inflorescence_length,16cm;3cm,22cm;16cm,
189,carex_baileyi,leaf_width,4mm;2.4mm,5mm;4mm,
190,carex_baileyi,plant_height,20cm,65cm,
191,carex_baltzellii,leaf_width,4mm,8mm,
192,carex_baltzellii,plant_height,15cm,40cm,
193,carex_barbarae,leaf_width,4mm,9mm,
194,carex_barbarae,plant_height,30cm,110cm,
195,carex_barrattii,leaf_width,2mm,5mm,
196,carex_barrattii,plant_height,20cm,90cm,
197,carex_basiantha,fruit_length,2.4mm;3mm;2.6mm,2.6mm;3.4mm;3mm,
198,carex_basiantha,fruit_width,1.3mm;1.7mm;1.5mm,1.5mm;1.9mm;1.7mm,
199,carex_basiantha,leaf_width,1.4mm,3.7mm,
200,carex_basiantha,plant_height,10.7cm;10.7cm;18cm,18cm;18cm;39cm,
201,carex_bebbii,inflorescence_length,1.1cm,3cm,
202,carex_bebbii,inflorescence_width,5mm,14mm,
203,carex_bebbii,leaf_width,1.7mm,4.2mm,
204,carex_bebbii,plant_height,20cm,90cm,
205,carex_bella,branch_quantity,2,3,
206,carex_bella,leaf_width,3mm,6mm,
207,carex_bella,plant_height,25cm,55cm,
208,carex_bicknellii,inflorescence_length,0.24cm,0.62cm,
209,carex_bicknellii,inflorescence_width,8mm,15mm,
210,carex_bicknellii,leaf_width,2mm,5mm,
211,carex_bicknellii,plant_height,35cm;35cm;40cm,40cm;40cm;110cm,
212,carex_bicolor,fruit_length,1.4mm,2mm,
213,carex_bicolor,fruit_width,1mm,1.6mm,
214,carex_bicolor,leaf_width,1mm,2.5mm,
215,carex_bicolor,plant_height,0cm,20cm,
216,carex_bigelowii,leaf_width,1.5mm,4mm,
217,carex_bigelowii,plant_height,10cm,50cm,
218,carex_biltmoreana,fruit_length,1.8mm,2.5mm,
219,carex_biltmoreana,fruit_width,1.4mm,1.6mm,
220,carex_biltmoreana,inflorescence_length,16cm,32cm,
221,carex_biltmoreana,leaf_width,3.5mm,6mm,
222,carex_biltmoreana,plant_height,30cm,75cm,
223,carex_blanda,fruit_length,2.1mm,3.2mm,
224,carex_blanda,fruit_width,0.8mm,1.8mm,
225,carex_blanda,inflorescence_length,0cm,1.7cm,
226,carex_blanda,leaf_width,0.5mm,3.4mm,narrower
227,carex_blanda,plant_height,14cm,53cm,
228,carex_bolanderi,fruit_length,1.5mm,2.1mm,
229,carex_bolanderi,fruit_width,0.9mm,1.3mm,
230,carex_bolanderi,inflorescence_length,33mm;89mm;40mm,40mm;103mm;89mm,
231,carex_bolanderi,leaf_width,1.8mm;2.3mm,5.9mm;5.9mm,
232,carex_bolanderi,plant_height,31cm,115cm,
233,carex_bonanzensis,fruit_length,1mm,1.25mm,
234,carex_bonanzensis,inflorescence_length,4cm;2cm,6cm;4cm,
235,carex_bonanzensis,inflorescence_width,5mm,10mm,
236,carex_bonanzensis,leaf_width,2mm,3mm,thin
237,carex_bonanzensis,plant_height,20cm,50cm,
238,carex_brainerdii,fruit_length,2.1mm,2.6mm,
239,carex_brainerdii,fruit_width,1.3mm,2.1mm,
240,carex_brainerdii,leaf_width,1.8mm,3.8mm,
241,carex_brainerdii,plant_height,6cm,34cm,
242,carex_brevicaulis,fruit_length,1.9mm,2.4mm,
243,carex_brevicaulis,fruit_width,1.6mm,2mm,
244,carex_brevicaulis,leaf_width,2mm;1.3mm,3.5mm;2mm,
245,carex_brevicaulis,plant_height,2cm,19cm,
246,carex_brevior,inflorescence_length,1.3cm;5cm;2.5cm,2.5cm;6.5cm;5cm,
247,carex_brevior,inflorescence_width,5mm,18mm,
248,carex_brevior,leaf_width,1.5mm,3.5mm,
249,carex_brevior,plant_height,15cm,120cm,
250,carex_breweri,inflorescence_length,1.4cm,2.5cm,
251,carex_breweri,inflorescence_width,7mm,12mm,
252,carex_breweri,plant_height,22cm;22cm;15cm,30cm;30cm;22cm,
253,carex_bromoides,fruit_length,1.7mm,2.2mm,
254,carex_bromoides,fruit_width,0.7mm,1.1mm,
255,carex_bromoides,inflorescence_length,44mm;33mm;63mm;12mm;63mm;24mm;40mm;21mm,53mm;40mm;71mm;21mm;71mm;44mm;63mm;63mm,
256,carex_bromoides,leaf_width,1.1mm;1.3mm;2.8mm;2.9mm;1.3mm,4.4mm;4.4mm;4.4mm;3.1mm;2.9mm,
257,carex_bromoides,plant_height,23cm,88cm,
258,carex_brunnescens,fruit_length,1.25mm,1.5mm,
259,carex_brunnescens,fruit_width,0.8mm,1mm,
260,carex_brunnescens,inflorescence_length,5cm;4cm;1.5cm;1.5cm;1.5cm,7cm;7cm;7cm;5cm;4cm,
261,carex_brunnescens,inflorescence_width,3mm,6mm,
262,carex_brunnescens,leaf_width,0.5mm;1mm;1.5mm;0.5mm;1mm,2mm;1.5mm;2.5mm;1mm;1.5mm,
263,carex_brunnescens,plant_height,15cm;15cm;30cm,60cm;90cm;90cm,slender;slender
264,carex_brysonii,branch_quantity,0.22,0.86,
265,carex_brysonii,fruit_length,2.5mm;2.7mm,2.7mm;3.5mm,
266,carex_brysonii,fruit_width,1.6mm;1.4mm,1.7mm;1.6mm,
267,carex_brysonii,leaf_width,3.4mm;5.8mm;3.7mm,3.7mm;6.1mm;5.8mm,
268,carex_brysonii,plant_height,25cm,60cm,
269,carex_bulbostylis,branch_quantity,0.31,0.94,
270,carex_bulbostylis,fruit_length,2.6mm,3.3mm,
271,carex_bulbostylis,fruit_width,1.6mm,2.1mm,
272,carex_bulbostylis,leaf_width,3.5mm;2.2mm,3.9mm;3.5mm,
273,carex_bulbostylis,plant_height,3cm;10cm,7.4cm;65cm,
274,carex_bullata,inflorescence_length,8cm,30cm,
275,carex_bullata,leaf_width,4.3mm;1.8mm,5mm;4.3mm,
276,carex_bullata,plant_height,30cm,85cm,
277,carex_bushii,fruit_length,2mm,2.6mm,
278,carex_bushii,fruit_width,1.1mm;1.4mm,1.4mm;1.7mm,
279,carex_bushii,leaf_width,1.5mm,4mm,
280,carex_bushii,plant_height,30cm,90cm,
281,carex_buxbaumii,branch_quantity,3;2,4;3,
282,carex_buxbaumii,leaf_width,2mm,3.5mm,
283,carex_buxbaumii,plant_height,25cm,75cm,
284,carex_calcifugens,branch_quantity,0.88;0.94,0.94;0.99,
285,carex_calcifugens,fruit_length,2.6mm,3.4mm,
286,carex_calcifugens,fruit_width,1.4mm,1.9mm,
287,carex_calcifugens,inflorescence_length,19cm,34cm,
288,carex_calcifugens,leaf_width,2.6mm,4mm,
289,carex_calcifugens,plant_height,5.2cm;2.7cm;14cm,5.6cm;5.2cm;37cm,
290,carex_californica,fruit_length,2mm;2.3mm,2.3mm;2.7mm,
291,carex_californica,fruit_width,1.6mm,2mm,
292,carex_californica,inflorescence_length,4cm,19cm,
293,carex_californica,leaf_width,1.5mm,5.5mm,
294,carex_californica,plant_height,15cm,60cm,
295,carex_canescens,fruit_length,1.25mm,1.5mm,
296,carex_canescens,fruit_width,1mm,1.25mm,
297,carex_canescens,inflorescence_length,12cm;5cm;2cm;6cm;3cm,15cm;7cm;15cm;12cm;5cm,
298,carex_canescens,inflorescence_width,5mm,10mm,
299,carex_canescens,leaf_width,1.5mm;subequal;2mm,2mm;shorter;4mm,
300,carex_canescens,plant_height,15cm;30cm;15cm,90cm;90cm;60cm,
301,carex_capillaris,fruit_length,1.2mm,1.7mm,
302,carex_capillaris,fruit_width,0.7mm,1mm,
303,carex_capillaris,leaf_width,0.75mm;1mm,1mm;4mm,
304,carex_capillaris,plant_height,0cm,60cm,
305,carex_careyana,fruit_length,4.5mm,6mm,
306,carex_careyana,fruit_width,2.4mm,2.8mm,
307,carex_careyana,leaf_width,1mm,4mm,
308,carex_careyana,plant_height,34cm,62cm,
309,carex_caroliniana,fruit_length,1.6mm,2.2mm,
310,carex_caroliniana,fruit_width,1mm,1.4mm,
311,carex_caroliniana,leaf_width,1.5mm,4mm,
312,carex_caroliniana,plant_height,25cm,80cm,
313,carex_caryophyllea,inflorescence_length,2cm,4cm,
314,carex_caryophyllea,leaf_width,1.5mm,3mm,
315,carex_caryophyllea,plant_height,4cm,35cm,
316,carex_castanea,fruit_length,1.5mm,2mm,
317,carex_castanea,fruit_width,1mm,1.5mm,
318,carex_castanea,leaf_width,2.5mm,9mm,thick
319,carex_castanea,plant_height,40cm,90cm,
320,carex_cephaloidea,fruit_length,1.6mm,2mm,
321,carex_cephaloidea,fruit_width,1.3mm,1.7mm,
322,carex_cephaloidea,inflorescence_length,1.5cm,4cm,
323,carex_cephaloidea,inflorescence_width,8mm,10mm,
324,carex_cephaloidea,leaf_width,4mm;5mm,5mm;8mm,
325,carex_cephaloidea,plant_height,30cm,120cm,
326,carex_cephalophora,inflorescence_length,0.6cm,2cm,
327,carex_cephalophora,inflorescence_width,5mm,10mm,
328,carex_cephalophora,leaf_width,1.9mm;2.5mm,2.5mm;5mm,
329,carex_cephalophora,plant_height,20cm,60cm,
330,carex_chalciolepis,branch_quantity,3,6,
331,carex_chalciolepis,leaf_width,2.5mm,5mm,
332,carex_chalciolepis,plant_height,20cm,50cm,
333,carex_chapmanii,fruit_length,2.2mm,3mm,
334,carex_chapmanii,fruit_width,1.2mm,1.6mm,
335,carex_chapmanii,leaf_width,0.5mm,3.4mm,narrower
336,carex_chapmanii,plant_height,10cm,32cm,
337,carex_cherokeensis,fruit_length,2mm,2.5mm,
338,carex_cherokeensis,fruit_width,1.2mm,1.7mm,
339,carex_cherokeensis,inflorescence_length,3mm,20mm,
340,carex_cherokeensis,leaf_width,2.5mm;1.5mm,7mm;3.5mm,
341,carex_cherokeensis,plant_height,30mm,80mm,
342,carex_chihuahuensis,inflorescence_length,4cm,10cm,
343,carex_chihuahuensis,inflorescence_width,7mm,15mm,
344,carex_chihuahuensis,plant_height,0cm,400cm,
