,species_name,coded_property_name,collapsed_data
124,carex_assiniboinensis,maximum_fruit_length,2.5mm
125,carex_assiniboinensis,maximum_fruit_width,1mm
126,carex_assiniboinensis,maximum_leaf_width,3mm;2.2mm
127,carex_atherodes,maximum_inflorescence_length,60cm
128,carex_atherodes,maximum_leaf_width,10mm
129,carex_atherodes,maximum_plant_height,125cm
130,carex_athrostachya,maximum_inflorescence_length,1.5cm;2.2cm
131,carex_athrostachya,maximum_inflorescence_width,20mm
132,carex_athrostachya,maximum_plant_height,80cm
133,carex_atlantica,maximum_fruit_length,1.9mm
134,carex_atlantica,maximum_fruit_width,1.7mm
135,carex_atlantica,maximum_inflorescence_length,5.5cm
136,carex_atlantica,maximum_leaf_width,4mm;4.5mm;4mm
137,carex_atlantica,maximum_plant_height,110cm
138,carex_atrata,maximum_leaf_width,5mm
139,carex_atrata,maximum_plant_height,40cm
140,carex_atratiformis,maximum_leaf_width,5mm
141,carex_atratiformis,maximum_plant_height,70cm
142,carex_atrofusca,maximum_fruit_length,1.6mm
143,carex_atrofusca,maximum_fruit_width,0.9mm
144,carex_atrofusca,maximum_inflorescence_length,6cm
145,carex_atrofusca,maximum_leaf_width,4mm
146,carex_atrofusca,maximum_plant_height,30cm
147,carex_atrosquama,maximum_leaf_width,5mm
148,carex_atrosquama,maximum_plant_height,50cm
149,carex_aurea,maximum_fruit_length,1.8mm
150,carex_aurea,maximum_fruit_width,1.5mm
151,carex_aurea,maximum_leaf_width,3mm
152,carex_aurea,maximum_plant_height,40cm
153,carex_aureolensis,maximum_leaf_width,8.5mm
154,carex_aureolensis,maximum_plant_height,85cm
155,carex_austrina,maximum_fruit_length,2.5mm
156,carex_austrina,maximum_fruit_width,2mm
157,carex_austrina,maximum_inflorescence_length,3.5cm
158,carex_austrina,maximum_inflorescence_width,15mm
159,carex_austrina,maximum_plant_height,90cm
160,carex_austrocaroliniana,maximum_fruit_length,2mm
161,carex_austrocaroliniana,maximum_fruit_width,2mm
162,carex_austrocaroliniana,maximum_leaf_width,6mm
163,carex_austrocaroliniana,maximum_plant_height,51cm
164,carex_backii,maximum_fruit_length,3.2mm
165,carex_backii,maximum_fruit_width,2.3mm
166,carex_backii,maximum_leaf_width,5.4mm
167,carex_backii,maximum_plant_height,25cm
168,carex_baileyi,maximum_inflorescence_length,16cm
169,carex_baileyi,maximum_leaf_width,5mm;4mm
170,carex_baileyi,maximum_plant_height,65cm
171,carex_baltzellii,maximum_plant_height,40cm
172,carex_barbarae,maximum_leaf_width,9mm
173,carex_barbarae,maximum_plant_height,110cm
174,carex_barrattii,maximum_plant_height,90cm
175,carex_basiantha,maximum_fruit_length,2.6mm;3.4mm;3mm
176,carex_basiantha,maximum_fruit_width,1.5mm;1.9mm;1.7mm
177,carex_basiantha,maximum_leaf_width,3.7mm
178,carex_basiantha,maximum_plant_height,39cm
179,carex_bebbii,maximum_inflorescence_length,3cm
180,carex_bebbii,maximum_inflorescence_width,14mm
181,carex_bebbii,maximum_leaf_width,4.2mm
182,carex_bebbii,maximum_plant_height,90cm
183,carex_bella,maximum_leaf_width,6mm
184,carex_bella,maximum_plant_height,55cm
185,carex_bicknellii,maximum_inflorescence_length,0.62cm
186,carex_bicknellii,maximum_inflorescence_width,15mm
187,carex_bicknellii,maximum_leaf_width,5mm
188,carex_bicknellii,maximum_plant_height,110cm
189,carex_bicolor,maximum_fruit_length,2mm
190,carex_bicolor,maximum_fruit_width,1.6mm
191,carex_bicolor,maximum_leaf_width,2.5mm
192,carex_bicolor,maximum_plant_height,20cm
193,carex_bigelowii,maximum_leaf_width,4mm
194,carex_bigelowii,maximum_plant_height,50cm
195,carex_biltmoreana,maximum_fruit_length,2.5mm
196,carex_biltmoreana,maximum_fruit_width,1.6mm
197,carex_biltmoreana,maximum_inflorescence_length,32cm
198,carex_biltmoreana,maximum_leaf_width,6mm
199,carex_biltmoreana,maximum_plant_height,75cm
200,carex_blanda,maximum_fruit_length,3.2mm
201,carex_blanda,maximum_fruit_width,1.8mm
202,carex_blanda,maximum_inflorescence_length,1.7cm
203,carex_blanda,maximum_leaf_width,3.4mm
204,carex_blanda,maximum_plant_height,53cm
205,carex_bolanderi,maximum_fruit_length,2.1mm
206,carex_bolanderi,maximum_fruit_width,1.3mm
207,carex_bolanderi,maximum_inflorescence_length,89mm
208,carex_bolanderi,maximum_leaf_width,5.9mm;5.9mm
209,carex_bolanderi,maximum_plant_height,115cm
210,carex_bonanzensis,maximum_fruit_length,1.25mm
211,carex_bonanzensis,maximum_fruit_width,
212,carex_bonanzensis,maximum_inflorescence_length,6cm;4cm
213,carex_bonanzensis,maximum_inflorescence_width,10mm
214,carex_bonanzensis,maximum_leaf_width,3mm
215,carex_bonanzensis,maximum_plant_height,50cm
216,carex_brainerdii,maximum_fruit_length,2.6mm
217,carex_brainerdii,maximum_fruit_width,2.1mm
218,carex_brainerdii,maximum_plant_height,34cm
219,carex_brevicaulis,maximum_fruit_length,2.4mm
220,carex_brevicaulis,maximum_fruit_width,2mm
221,carex_brevicaulis,maximum_plant_height,19cm
222,carex_brevior,maximum_inflorescence_length,2.5cm;6.5cm;5cm
223,carex_brevior,maximum_inflorescence_width,18mm
224,carex_brevior,maximum_leaf_width,3.5mm
225,carex_brevior,maximum_plant_height,120cm
226,carex_breweri,maximum_inflorescence_length,2.5cm
227,carex_breweri,maximum_inflorescence_width,12mm
228,carex_breweri,maximum_plant_height,22cm
229,carex_bromoides,maximum_fruit_length,2.2mm
230,carex_bromoides,maximum_fruit_width,1.1mm
231,carex_bromoides,maximum_inflorescence_length,63mm
232,carex_bromoides,maximum_leaf_width,4.4mm;4.4mm
233,carex_bromoides,maximum_plant_height,88cm
234,carex_brunnescens,maximum_fruit_length,1.5mm
235,carex_brunnescens,maximum_fruit_width,1mm
236,carex_brunnescens,maximum_inflorescence_length,7cm
237,carex_brunnescens,maximum_inflorescence_width,6mm
238,carex_brunnescens,maximum_leaf_width,2mm
239,carex_brunnescens,maximum_plant_height,90cm
240,carex_brysonii,maximum_fruit_length,2.7mm;3.5mm
241,carex_brysonii,maximum_fruit_width,1.7mm;1.6mm
242,carex_brysonii,maximum_leaf_width,3.7mm;6.1mm;5.8mm
243,carex_brysonii,maximum_plant_height,60cm
244,carex_bulbostylis,maximum_fruit_length,3.3mm
245,carex_bulbostylis,maximum_fruit_width,2.1mm
246,carex_bulbostylis,maximum_leaf_width,3.9mm;3.5mm
247,carex_bulbostylis,maximum_plant_height,7.4cm;65cm
248,carex_bullata,maximum_inflorescence_length,30cm
249,carex_bullata,maximum_leaf_width,5mm;4.3mm
250,carex_bullata,maximum_plant_height,85cm
251,carex_bushii,maximum_fruit_length,2.6mm
252,carex_bushii,maximum_fruit_width,1.4mm;1.7mm
253,carex_bushii,maximum_leaf_width,4mm
254,carex_bushii,maximum_plant_height,90cm
255,carex_buxbaumii,maximum_leaf_width,3.5mm
256,carex_buxbaumii,maximum_plant_height,75cm
257,carex_calcifugens,maximum_fruit_length,3.4mm
258,carex_calcifugens,maximum_fruit_width,1.9mm
259,carex_calcifugens,maximum_inflorescence_length,34cm
260,carex_calcifugens,maximum_leaf_width,4mm
261,carex_calcifugens,maximum_plant_height,5.6cm;5.2cm;37cm
262,carex_californica,maximum_fruit_length,2.3mm;2.7mm
263,carex_californica,maximum_fruit_width,2mm
264,carex_californica,maximum_inflorescence_length,19cm
